name,link,category,businessDescription,basedIn,tags,totalFunding,founded,website,country,longBusinessDescription,companyStatus,linkedin
Studdy,https://www.eu-startups.com/directory/studdy/,Italy,"Studdy empowers high school students as they choose their next steps after graduation. Through an engaging, tailored orientation process, Studdy equips students with essential self-awareness tools and valuable insights into different career paths, helping them make confident and informed decisions about their future. Additionally, Studdy collaborates with financial institutions to offer facilitated loans, ensuring that financial support is available to those university students who need it.",Milan,"Educational Financing Support, Self Awareness Development, Personalized Matching",Between €100K-€500K,2024,https://studdy.it/,IT,,Active,https://www.linkedin.com/company/studdy-it/
Wholetech,https://www.eu-startups.com/directory/wholetech/,Italy,"A mobile application capable of giving pre-diagnosis for scalp diseases, connecting the patient with nearby dermatologists, and recommending products based on individual needs... as a starting point!
WholeTech is a remote-first software house in Salerno, Italy, creating AI solutions for human and business needs.",Salerno,"Healthcare Technology, Customized Tech Solutions, Biomedical Innovation",Between €100K-€500K,2024,https://wholetech.eu,IT,,Active,https://www.linkedin.com/company/wholetech/
KFG Products,https://www.eu-startups.com/directory/kfg-products/,Italy,"Platform that allows potential clients to find professionals (for now we focus only on photographers)
KFG Products is a forward-thinking technology company specializing in software and website development. By combining cutting-edge technologies, such as cloud computing, artificial intelligence, and advanced frameworks, we deliver secure, scalable, and high-performing solutions that elevate businesses in a rapidly evolving digital landscape.

Our collaborative approach and commitment to innovation enable us to tackle complex challenges and transform them into intuitive, user-friendly products. From bespoke software applications that streamline operations to dynamic, responsive websites that enhance brand visibility, we provide holistic digital experiences tailored to our clients’ goals.",Milano,"Customizable Layouts, High Quality Photo Books, Photo Printing Service",Between €100K-€500K,2024,https://pix-book.com,IT,,Active,https://www.linkedin.com/company/kfg-products/
Klaaryo,https://www.eu-startups.com/directory/klaaryo/,Italy,"""Klaaryo is a conversational infrastructure designed to optimize high-volume hiring operations for enterprise and mid-sized companies.
 
 Powered by GenAI and WhatsApp, Klaaryo automates pre-screening, interview scheduling, and onboarding processes, streamlining hiring for field workers.
 
 Klaaryo charges based on the volume of candidates that are managed across the hiring process.""",Berlin,"Interview Scheduling Automation, AI Recruitment Agent, Automated Candidate Screening",Between €500K-€ 1 million,2024,https://klaaryo.com/,IT,,Active,https://www.linkedin.com/company/klaaryo/
Grateful,https://www.eu-startups.com/directory/grateful/,Italy,"Grateful is a platform that helps you improve mental well-being by combining practical tools with actionable insights. Build healthy habits through guided reflections, personalized prompts, and community support. Discover the power of gratitude and resilience in daily life, and take control of your self-care journey. Whether you’re new or looking to deepen your practice, Grateful is here to help you thrive.",Viale Luigi Schiavonetti,"Mental Workouts, Professional Support, Mental Wellness App",No funding announced yet,2024,https://grateful.social,IT,,Active,https://www.linkedin.com/company/grateful-social/
Bandit,https://www.eu-startups.com/directory/bandit/,Italy,"""We quickly prepare initial documentation for public tenders, making it easier for companies, individuals and professionals to apply more quickly and cost-effectively.
 The price is fixed per tender (with multiple attachments) generated.""",Palermo,"Artificial Intelligence, Automation, Subsidized Finance",Between €100K-€500K,2024,https://landing.getbandit.it,IT,,Active,https://www.linkedin.com/company/getbandit/
Tailoor.com,https://www.eu-startups.com/directory/tailoor.com,Italy,"""Tailoor.com is a SaaS platform powered by AI offering seamless customization of products and experiences through an advanced 3D configurator and innovative AI capabilities. By leveraging generative AI technologies like Digital Twin and Virtual Assistant, we enable businesses to deliver unique and tailored travel experiences, catering to B2B, B2C, and B2B2C markets.
 
 Our platform goes beyond customization—we empower brands to craft experiences that celebrate individuality, creating unforgettable moments by providing continuous innovations aimed at anticipating the market’s needs. Tailoor’s versatility makes it ideal also for events, where gamification enhances engagement and fosters interaction in dynamic and impactful ways.
 
 In Malta, we are on a mission to redefine the travel industry. We aim to forge strong partnerships with key market players, driving innovation and unlocking new opportunities to deliver concrete value.
 
 Join us in shaping the future of AI-powered personalized travel experiences—because at Tailoor, innovation is the journey, and your brand is the destination.""",Milan,"b2b business, Customization, Fashion",Between €500K-€ 1 million,2024,https://tailoor.com,IT,,Active,https://www.linkedin.com/company/tailoor/
NanoBiomica,https://www.eu-startups.com/directory/nanobiomica/,Italy,"NanoBiomica plans to exploit the synergy between state-of-the-art, proprietary synthetic DNA, Protein ligands, in conjunction with modern nanotechnology platforms, for the miniaturization and specific delivery of new and proprietary devices and processes that have the potential to profoundly impact medicine (both therapeutics and diagnostics) and set the ground for a new category of nanocircuits for bioelectronic devices.",Bologna,"Nano biotechnology, Synthetic Biology, Advanced Drug Delivery",Between €100K-€500K,2024,https://www.Nanobiomica.com,IT,,Active,
stakeshare,https://www.eu-startups.com/directory/stakeshare/,Italy,"""Stakeshare is a SaaS platform that helps smart companies reward employees for achieving results. Our blockchain-enabled tokens do 2 things: certify the results achieved by the talent, and carry a unique benefit, such as a dinner with the CEO.
 
 We target corporates, startups and accelerators with our freemium revenue model that includes subscriptions and marketplace transaction fees.""",Bologna,"Blockchain Rewards, Crypto, Investment Management",Between €100K-€500K,2024,https://stakeshare.io,IT,,Active,https://www.linkedin.com/company/stakeshare/
MaPott,https://www.eu-startups.com/directory/mapott/,Italy,"MaPott will operate on a subscription-based model, offering personalized health insights and actionable recommendations for women with PCOS and endometriosis. By integrating wearable biomarker data with self-reported symptoms, the app will deliver tailored lifestyle adjustments to improve hormonal health. The platform will also feature a B2B2C model, collaborating with healthcare providers to enhance patient care. Over time, MaPott aims to develop proprietary AI algorithms to optimize recommendations.",Italy,"AI Health Tracking, Holistic Wellness, Endometriosis Support",Between €100K-€500K,2024,https://ma-pott.com/,IT,,Active,
Comestai,https://www.eu-startups.com/directory/comestai/,Italy,"Comestai is the online clinical center for the treatment of Eating Disorders. The center retains 30% of each service that clinicians deliver through our platform.
We also provide Online therapy service for the treatment of Eating Disorders.",Montecelio,"Eating Disorders, Online Therapy, Mental Health",Between €100K-€500K,2024,https://comestai.net/,IT,,Active,https://www.linkedin.com/company/comestai-net/
Plutonios,https://www.eu-startups.com/directory/plutonios/,Italy,"We develop AI-powered Digital Concierges that automate hospitality providers’ customer service channels. Our AI solutions enable full automation of booking processes and guest interactions, delivering instant, accurate responses to booking requests and other inquiries. By streamlining operations, our solution boosts guests satisfaction and significantly increases hospitality providers profitability by reducing the need for large customer service teams.",Milan,"Cost Reduction, AI Hotel Automation, Multichannel Support",Between €100K-€500K,2024,https://plutoniosolutions.com/,IT,,Active,
GeoRide,https://www.eu-startups.com/directory/georide/,Italy,"It is an AI-powered app that aggregates all major sharing services into one platform. It lets users compare prices, view availability, and book bikes, scooters, mopeds and cars on a single map. Inspired by Skyscanner and other similar model businesses, it simplifies ""last-mile"" mobility.",Rome,"Motorcycle Security, Ride Tracking, Smart Connectivity",Between €100K-€500K,2024,https://georide.retool.com/embedded/public/0796adf5-985b-48f7-86cc-85acafe9102e,IT,,Active,
Carbonfly,https://www.eu-startups.com/directory/carbonfly/,Italy,A blockchain-based SAF management platform that enables travelers to book and claim Scope 3 emissions attributes using SAF certificates. It aggregates demand and scales the SAF market with a global Book & Claim system offering loyalty tokens as reward for sustainable travel.,Italy,"Emission Reduction, Sustainable Travel, SAF Tokenization",Between €100K-€500K,2024,https://carbonfly.it,IT,,Active,
Deplotic,https://www.eu-startups.com/directory/deplotic/,Italy,"""Deplotic offers an integrated robotic manipulator, known as IDRA (Inflatable and Deployable Robotic Arm), designed for autonomous satellite inspection and maintenance. IDRA features inflatable links and electrically actuated joints, minimizing its stowed volume while maximizing its workspace when deployed. 
 This technology enables on-board repairs, upgrades, and other ISAM (In-space Assembly and Manufacturing) operations directly on the satellite, eliminating the need for auxiliary spacecraft.
 The business model is based on selling IDRA with an installation price of €2.5 million, supplemented by an annual service fee for support and maintenance.""",Torino,"robotics, space, Satellite Maintenance",Between €100K-€500K,2024,https://www.deplotic.com,IT,,Active,https://www.linkedin.com/company/deplotic/
Anostra,https://www.eu-startups.com/directory/anostra/,Italy,"Anostra aims to make autonomous farming accessible to all. The hardware and software platform being developed by our team will enable existing farming machinery to become self-driving and controllable via a desktop or mobile app. Our suite will be available with a freemium model: basic functionality can be accessed by purchasing the hardware, while premium features will be available through a monthly subscription.",L’Aquila,"Autonomous Farming, Farm Management Software, AgriTech Innovation",Between €100K-€500K,2024,https://www.anostra.it/,IT,,Active,https://www.linkedin.com/company/anostra/
Alpha Wearables,https://www.eu-startups.com/directory/alpha-wearables/,Italy,"Alpha αXon operates on a direct-to-consumer and B2B model, leveraging cutting-edge biosensor technology to bridge mental and physical well-being. Our wearable earsets integrate EEG, PPG, motion tracking, and temperature sensors, delivering real-time insights into focus, stress, and cognitive balance via the Hyper.me app. The technology employs a proprietary algorithm (TIRN - Transformation in Neural Resonance) to translate raw brain and physiological data into actionable feedback for productivity and well-being. Initially targeting early adopters and professionals, we aim to expand into corporate wellness, healthcare, and transportation safety through strategic partnerships.",Florence,"Healthcare, Neurotechnology, Artificial Intelligence",Between €100K-€500K,2025,https://alphawearables.com,IT,,Active,https://www.linkedin.com/company/alphawearables/
Guardcyber,https://www.eu-startups.com/directory/guardcyber/,Italy,"GuardCyber is a comprehensive platform for cybersecurity and digital wellness, designed to protect and educate families, children, and teenagers in the digital environment. We leverage AI-powered tools to monitor and prevent risks like cyberbullying while promoting healthy technology habits. Our business model combines a freemium approach with affordable premium options and school-specific licensing, positioning us as leaders in family-focused digital safety and education.",Camaiore,"Family Cyber security, Digital Wellness, AI Parental Controls",Between €100K-€500K,2025,https://www.guardcyber.ai,IT,,Active,
Starview,https://www.eu-startups.com/directory/starview/,Italy,"Emergency natural disaster response related to property damages using Satellite/Aerial imagery and AI for p&c insurances, Loss adjustment companies and municipalities.
To empower insurance companies with actionable insights derived from satellite imagery. We strive to enhance disaster preparedness and facilitate informed decision-making in risk management. Our mission is to be the leading provider of satellite analytical solutions in the industry. We aim to promote resilience and proactive responses to natural disasters.",Turin,"Satellite Analytics, Risk Assessment, Insurance Tech",Between €100K-€500K,2025,https://Starview.pro,IT,,Active,https://www.linkedin.com/company/starviewsrl/
doctorhouse,https://www.eu-startups.com/directory/doctorhouse/,Italy,"doctorhouse is a real-time healthcare platform that connects users with available physicians, including general doctors and veterinarians. Unlike traditional medical appointment services, doctorhouse allows professionals to set their availability, consultation fees, and preferred service format (home visit, telemedicine, or in-person). The platform operates without intermediation fees, providing flexibility for both users and practitioners. Its revenue model is based on B2B and B2C subscriptions, with corporate welfare and insurance integrations driving initial adoption before expanding to a direct-to-consumer market.",Milano,"blockchain, Innovative Tech Solutions, Smart Mobility",Between €500K-€ 1 million,2025,https://alab.tech,IT,,Active,https://www.linkedin.com/company/alabtechinnovation/
Mnsimu,https://www.eu-startups.com/directory/mnsimu/,Italy,"""In a context where digital tourism is rapidly expanding and travelers are increasingly seeking personalized and
 immediate experiences, PuntoMare stands out as a cutting-edge solution that redefines how tourists experience
 seaside vacations.
 The platform effectively addresses common challenges faced by tourists, such as the unpredictability of marine
 conditions and the lack of detailed information about local services. Thanks to a proprietary marine weather
 forecasting algorithm based on geospatial and meteorological data, PuntoMare provides ultra-local forecasts for
 each beach, enabling visitors to plan their days optimally. The nature of the algorithm allows it to be patented as
 a process.
 Additionally, the integration of an AI Agent, named ""Punto,"" provides personalized assistance, answering
 questions and offering recommendations like a local tour guide.
 PuntoMare differentiates itself from competitors through a unique combination of advanced technologies and
 strategic focus: while existing platforms primarily concentrate on customer acquisition before arrival (destination
 marketing), PuntoMare focuses on proximity marketing and post-arrival engagement, delivering added value to
 both tourists and local operators.
 The business model includes both a B2C component, represented by a transaction commission on bookings made
 for beach facilities, rentals, experiences, and restaurants (partnered through affiliate programs with Spiagge.it,
 Viator, Musement, and Quandoo), and a B2B component, based on advertising sales and data monetization.
 The multidisciplinary team is one of the key pillars of Mnsimu Srls’s success. Professionals with complementary
 expertise in technology, commerce, and finance work synergistically to realize the company’s mission.""",Muro Leccese,"Marine Forecasts, Eco Friendly Tourism, Digital Beach Experience",Between €100K-€500K,2023,https://www.punto-mare.it/,IT,,Active,https://www.linkedin.com/company/puntomare/
MakerBox,https://www.eu-startups.com/directory/makerbox/,Italy,"Say goodbye to boring bios and mismatched covers. MakerBox helps creators put together sleek, coherent profiles that truly represent who they are and what they do.With AI at the helm, your content is personalized, professional, and powerful—without the extra work.",San Nicola,"SaaS, Startup, AI Tools, Creator Economy",No funding announced yet,2025,https://www.makerbox.io/,IT,"MakerBox is your secret weapon for standing out in the indie maker crowd. Whether you're launching on Product Hunt or growing your Twitter following, MakerBox helps you write bios that reflect your voice, create bold profile visuals, and polish your digital identity to match your hustle.
Instead of wasting hours tweaking your profile or overthinking your intro, MakerBox handles it with smart AI tools built for indie founders and creators. It’s the fastest way to turn your profile into a lead magnet and make every click count.",Active,
Rosmami,https://www.eu-startups.com/directory/rosmami/,Italy,"Rosmami is an app that helps you manage your grocery shopping in a smarter and more sustainable way. It promotes conscious food choices and reduces waste. The company is based in Piedmont, Italy, and was founded in 2024",Bra,"App, E-Commerce, Food and Beverage, Grocery, Shopping",Between €1-€100K,2024,https://rosmami.com/,IT,"Rosmami is a foodtech startup founded in 2024 and based in Piedmont, Italy. The company has developed an innovative mobile app that transforms the grocery shopping experience by helping families reduce food waste, save money, and make more sustainable choices.
Through the use of artificial intelligence, Rosmami analyzes household consumption habits and pantry data to generate personalized shopping lists and meal plans. The app suggests recipes based on ingredients already available at home, allowing users to optimize their weekly shopping and avoid unnecessary purchases. By promoting a conscious and circular approach to food planning, Rosmami empowers users to cut down on waste and reduce their environmental impact.
The business model combines a freemium approach with premium features available by subscription, as well as affiliate partnerships with retailers and brands. Rosmami addresses both B2C and B2B segments, offering value to families, supermarkets, and food producers by enhancing customer engagement, providing insights, and promoting sustainable consumption patterns.
Rosmami’s mission is to make everyday food decisions smarter, easier, and more sustainable—one meal at a time.",Active,https://www.linkedin.com/company/rosmamiapp/
Micropedia,https://www.eu-startups.com/directory/micropedia/,Italy,"Micropedia is a software company and web agency founded in 2015 by Marco Ilardi. We specialize in developing tailored web and mobile applications, SEO consulting, and brand reputation consultancy. We operate successfully across Italy, from Trentino to Sicily, and have expanded internationally, serving clients in the United States, Canada, and even Macao.","Napoli, Pozzuoli","Business Development, Project Management, SEO, Social Media Marketing, Software, Web Development, E-Commerce, Software Development, Mobile App, Business Solution",No funding announced yet,2015,https://micropedia.it,IT,,,
Troniex Technologies,https://www.eu-startups.com/directory/troniex-technologies/,Italy,"At Troniex Technologies, we craft cutting-edge solutions in Web3, blockchain, AI, and DePIN infrastructure, empowering businesses to thrive in a fast-evolving digital world through strategic innovation and transformation. As a leading blockchain development company, we deliver scalable, future-ready technology designed to fuel long-term growth",Teramo,Scalable Blockchain Solutions for Real-World Impact,No funding announced yet,2022,https://www.troniextechnologies.com/,IT,,Active,
FiscoGenio AI,https://www.eu-startups.com/directory/fiscogenio-ai/,Italy,"FiscoGenio AI is a LegalTech SaaS transforming tax law research in Italy.

Our platform empowers tax professionals with instant, AI-powered access to official legal documents, reducing research time from hours to minutes. 

Unlike generic GenAI tools, FiscoGenio is trained on structured, trusted tax sources (like the Agenzia delle Entrate) and delivers precise, cited answers to complex legal questions. With features like real-time compliance alerts, natural language queries, and document summarization, we help accountants, tax lawyers, and consultants stay compliant, efficient, and competitive.

We’re on a mission to become the go-to tax intelligence platform for Italy’s €35B professional services market.",Lisbon & Milan,"LegalTech, Tax AI, SaaS for Accountants, RegTech",No funding announced yet,2024,www.fiscogenio.ai,IT,"FiscoGenio AI is an AI-powered legal research SaaS built specifically for Italian tax professionals.
In a sector plagued by bureaucratic complexity, frequent regulatory updates, and inefficient search tools, FiscoGenio brings clarity and speed. Our platform allows users to ask any tax-related question in natural language, like speaking to a colleague, and instantly receive accurate, contextualised answers with official citations from sources like the Agenzia delle Entrate.
We combine a powerful GenAI model with the structure of a legal database to ensure precision, compliance, and trust. Beyond Q&A, FiscoGenio also summarizes complex legal texts, sends real-time alerts on tax updates, and enables comparative analysis across multiple documents.
We serve solo accountants, tax lawyers, consulting firms, and corporate legal departments, offering flexible plans that scale with your needs.
FiscoGenio aims to become the leading tax intelligence platform in Italy by making legal research faster, smarter, and more accessible. Backed by a strong founding team in AI and law, we’re shaping the future of tax consultancy through human-AI collaboration.",Idea Stage,https://www.linkedin.com/company/fiscogenio-ai/
AI Cartoon Generator,https://www.eu-startups.com/directory/ai-cartoon-generator/,Italy,"AI Cartoon Generator is an innovative AI-powered tool that transforms text and photos into stunning cartoon-style images. With a wide range of artistic styles, customization options, and high-quality outputs, users can easily create unique avatars, social media content, and brand illustrations. Whether for personal fun or professional design, it offers a seamless and engaging experience for generating personalized cartoon characters with just a few clicks.",Amalfi,"AI Image, Design, Prompt",No funding announced yet,2024,https://aicartoongenerator.org,IT,,Active,
Bikinilista,https://www.eu-startups.com/directory/bikinilista/,Italy,"Bikinilista – A leading retailer for trendy bikinis & beachwear, offering high-quality styles for every body",Milan,"Fashion, eCommerce, Bikini Store",Between €1-€100K,2021,https://bikinilista.com,IT,"Bikinilista is your go-to destination for elevated swimwear and beachwear that fuses fashion-forward design with everyday comfort. From curve-enhancing bikinis to statement one-pieces and essential beach accessories, our handpicked collection empowers women to look and feel their best in the sun. Crafted with premium fabrics, modern silhouettes, and an eye for detail, Bikinilista offers styles for every mood—be it timeless, bold, or effortlessly sporty. Because at Bikinilista, every beach day is a style moment.",Active,https://www.linkedin.com/in/soheilhosseinix
Renovo srl,https://www.eu-startups.com/directory/renovo-srl/,Italy,"Renovo S.r.l. is boldly redefining the future of photovoltaic panel recycling. In a world racing toward renewable energy, we’re tackling the silent crisis few dare to face: the end-of-life management of solar panels. Our advanced robotic cells are engineered to dismantle, sort, and process every panel with surgical precision — extracting maximum value while minimizing environmental impact.",Milano,"Recycling, Robotic, Circular Economy, Robotic, Solar Panel",No funding announced yet,2024,https://www.renovo-recycling.it/,IT,"Renovo S.r.l. is an innovative startup with the goal of
 revolutionizing the photovoltaic panel disposal and
 recycling sector through the development of
 advanced robotic cells. With the growing capacity
 of photovoltaic installations in Italy and beyond, the
 need for efficient and sustainable solutions for
 managing the end-of-life of solar panels is
 continuously increasing. Renovo S.r.l. not only offers
 solutions for panel disposal but also aims to
 support the entire upstream recycling process,
 ensuring that recycled materials are carefully
 filtered, processed, and reintegrated into new
 production cycles",Active,https://www.linkedin.com/feed/
ETAK,https://www.eu-startups.com/directory/etak/,Italy,"We develop and manufacture innovative Waste-to-Energy (WtE) systems. Our proprietary solution efficiently transforms municipal solid waste into high-calorific syngas, providing a clean and sustainable energy source for industrial and commercial clients across Europe.",Cuneo,"Waste-to-Energy, Syngas Production, Clean Tech, Circular Economy",No funding announced yet,2024,https://etak.life/about/,IT,"Our startup is revolutionizing the Waste-to-Energy industry with advanced technology that converts mixed municipal waste into high-calorie syngas. Our system processes up to 6 tons of waste per hour and produces up to 4,000 cubic meters of syngas per hour, with a calorific value of 8,000 kcal/m³.
This high-efficiency solution is both environmentally and economically superior to traditional incineration plants. Our production line enables rapid return on investment (within 1.5 years), even when offering gas at a 50% market discount. We target energy-intensive industries, district heating providers, and utility companies seeking decarbonization and energy independence.
Headquartered in Italy and focused on expanding across Europe, we aim to become a key player in the circular economy and energy transition by turning waste into value.",Active,https://www.linkedin.com/company/etak-energy
BarBot,https://www.eu-startups.com/directory/barbot/,Italy,"BarBot: Your pocket bartender—discover cocktails, log drinks, and enjoy AI-driven recommendations.",Milan,"Mobile App, AI Technology, Food & Beverage",Between €1-€100K,2022,https://barbot.app,IT,"BarBot is your personal bartender in your pocket, designed to revolutionize your cocktail experience. With over 3,000 curated cocktail recipes sourced from iconic cocktail books worldwide, BarBot helps you discover new favorites tailored to your tastes and available ingredients. Effortlessly manage your home bar inventory, log and track your cocktail journeys, and enjoy personalized recommendations from your AI bartender. Whether you're a seasoned mixologist or a weekend cocktail enthusiast, BarBot makes exploring cocktails fun, interactive, and rewarding.",Active,
Founders Firm,https://www.eu-startups.com/directory/founders-firm/,Italy,Founders Firm is a full-stack law firm built by and for ambitious founders and their startups / small businesses.,Milan,Legal services,No funding announced yet,2024,https://www.foundersfirm.io/,IT,"Founders Firm is more than a legal service—we’re a partner for high-growth businesses. Built by founders, for founders, we understand the unique challenges of scaling, and we’re here to guide you through every critical decision with expertise and agility.
Our team of seasoned lawyers and operators serves startups and small businesses in all aspects of their legal needs - corporate, commercial, compliance, privacy, and more.",Active,https://www.linkedin.com/company/foundersfirmlaw
Lumigo,https://www.eu-startups.com/directory/lumigo/,Italy,"Lumigo is an AI search engine that revolutionises online product search, offering transparent results without sponsored ads. We analyse reviews, blogs and trusted sources to help you find exactly what you need.",Milan,"AI, Search Engine, Shopping",No funding announced yet,2024,https://lumigo.ai,IT,,Active,https://www.linkedin.com/company/lumigoai
AI Cartoon Generator,https://www.eu-startups.com/directory/ai-cartoon-generator/,Italy,"AI Cartoon Generator is an innovative AI-powered tool that transforms text and photos into stunning cartoon-style images. With a wide range of artistic styles, customization options, and high-quality outputs, users can easily create unique avatars, social media content, and brand illustrations. Whether for personal fun or professional design, it offers a seamless and engaging experience for generating personalized cartoon characters with just a few clicks.",Amalfi,"AI Image, Design, Prompt",No funding announced yet,2024,https://aicartoongenerator.org,IT,,Active,
STARTEX AI,https://www.eu-startups.com/directory/startex-ai/,Italy,"Startex is an AI-powered smart marketplace that revolutionizes M&A operations for SMEs, micro-enterprises, and startups. It automates and optimizes the entire buying and selling process, making it more efficient, faster, and accessible. It supports all parties at every stage, from finding the perfect match to finalizing agreements, simplifying and accelerating every step.",Milan,"m&a,ai,fintch,saas",No funding announced yet,2024,www.startex.ai,IT,,Active,https://www.linkedin.com/company/startex-ai/
AllStent,https://www.eu-startups.com/directory/allstent/,Italy,"Perfecting Stent-graft Implantation, one stent at a time","Milan, Italy","cardiovascular, SaMD, digital-twin, medical imaging",Between €100K-€500K,2024,https://www.allstent.com/,IT,"We are a cardiovascular AI-driven startup simulating the thoracic endovascular aortic repair treatment (TEVAR) in the pre-operative phase. With our approach, we increase dramatically the current granularity of insights based on which the surgeons choose the stent device for each patient. We are 3D reconstructing the CT scans of the patient, obtaining its ""TEVAR-twin"", then we simulate dinamically and interactively the interaction between the patient-specific geometry and the different stent candidates. We continue by post-processing it using curated AI models to gather all points of view surgeons are interested in seeing to make a data-driven decision. Our tool is a clinical decision making support system based on a patented and validated workflow, with more than 90% accuracy.",Active,https://www.linkedin.com/company/allstent/posts/?feedView=all
Jobiri.com,https://www.eu-startups.com/directory/jobiri.com,Italy,"Jobiri is the 1st AI-powered digital career coach, helping job seekers, institutions, and coaches accelerate employment with smart CVs, job search tools & coaching. Trusted by 150K+ users & top institutions. Join Jobiri.com today!",Milano,It uses AI to assist with job search and career growth,Between €100K-€500K,2022,https://www.jobiri.com/,IT,"Jobiri is a groundbreaking AI-powered digital career consultant that has revolutionized career coaching. As the leading digital career coaching platform, Jobiri cuts job search time, increases salary potential, and provides cutting-edge tools to accelerate employment, enhance institutional career services, and expand the impact of career professionals.
With +150,000 individuals, 1,200 career coaches, and numerous institutions already benefiting, Jobiri is a key player in the employment ecosystem, trusted by universities, vocational training centers, job centers, HR firms, and municipalities.
Jobiri offers an all-in-one platform with innovative, AI-driven career tools to simplify and streamline the job search process:
- AI CV Builder to create optimized CVs that get noticed and land interviews faster.
- AI-Powered Job Search Aggregator to find job opportunities more efficiently.
- LinkedIn Profile Builder based on AI to improve and optimize LinkedIn profiles to stand out from competitors.
- Job Search Masterclass with over 150 expert video lessons to navigate the job market successfully.
- Self service video interview training to practice with hundreds of interview questions and answers to boost confidence and performance.
- Personalized Career Coaching provided with certified career coaches for tailored job search support.
Jobiri has earned multiple national and international awards, confirming its pioneering role in AI-powered career coaching.
- Are you a job seeker looking to accelerate your career?
- Are you an institution seeking to enhance career services?
- Are you a career coach aiming to create a greater social impact?
Join Jobiri.com today and unlock the future of career coaching!",Active,https://www.linkedin.com/company/jobiriofficial/
Alessio Sbrana,https://www.eu-startups.com/directory/alessio-sbrana/,Italy,Consulente digital marketing con 20 anni di esperienza,Pisa,"SEO, SEM, advertising, web marketing, digital marketing, e-commerce",No funding announced yet,2016,https://www.sbrana.com/,IT,"Da circa 20 anni mi occupo di strategie di web marketing: nel corso della mia carriera ho avuto l'opportunità di lavorare come freelance, imprenditore e responsabile dei team digital per varie agenzie di digital marketing.
Questi ruoli mi hanno dato modo di lavorare per siti aziendali, istituzionali, onlus, gruppi bancari, multinazionali, pmi, info-commerce e, soprattutto, siti di commercio elettronico.
Il miei ""primi amori” sono stati la SEO e la SEM, ma la generazione di traffico, se pur ""di qualità"", non può bastare: negli anni ho approfondito le mie conoscenze in ambito digital con l’obiettivo di aumentare il profitto economico delle aziende attraverso il web, in modo particolare grazie alla conversion optimization (CRO) e alla marketing automation.",Active,https://it.linkedin.com/in/alessiosbrana
Jidoka Studio,https://www.eu-startups.com/directory/jidoka-studio/,Italy,Digital Transformation Studio: Intelligent Automation for Company Growth.,Turin,"digital transformation, digital automation, digital projects, marketing automation",No funding announced yet,2024,https://jidoka.studio,IT,"Every client has unique needs, and we are committed to offering customized solutions in sales, marketing and operations, which combine the best of technology and human ingenuity, creating a perfect balance between automation and control.
Thanks to our experience, we are able to design the best possible path, useful for achieving the company's goals.",Active,
WormApp LogiCity,https://www.eu-startups.com/directory/wormapp-logicity/,Italy,"WormApp optimises urban delivery and smart city services with multifunctional locations, reducing traffic, costs and environmental impact.",Bagno di Romagna,"Last mile delivery, Smart city services, Mobility transportation and logistics, Environment Pollution and Climate",No funding announced yet,2023,www.wormapp.it,IT,"WormApp revolutionises services through in-city drop-off points, equipped with signage and monitoring, reducing or eliminating road congestion. The service includes dedicated physical locations, integrated with a digital management system that regulates access times and modes for citizens and companies, optimising processes. All these activities are intermediated by a business-side and a client-side App.
In addition, the workstation system is applicable to multiple sectors and services, especially those that need space, create traffic, hindrance and pollution (parcel delivery, loading zones, product sales, etc.).
Key elements to be developed include the implementation of engineered workstations and a digital infrastructure to accommodate people. WormApp stands out for its technological exclusivity and scalability, adapting to complex urban contexts where traditional methods have many drawbacks and wastefulness.
The system offers a novel (patent and prior art search has been conducted) and replicable solution, guaranteeing an efficient service, reducing management costs and supporting innovative business models with high environmental compatibility.",Active,https://www.linkedin.com/in/roberto-paolo-pirani-1880a9161/
Scrapegraphai,https://www.eu-startups.com/directory/scrapegraphai/,Italy,"Scrapegraph is a cutting-edge web scraping platform that automates data extraction, analysis, and visualization, empowering businesses and developers to make smarter, data-driven decisions with ease.",Milan,"Scraping, AI",No funding announced yet,2024,https://scrapegraphai.com,IT,"Scrapegraph is a dynamic technology company dedicated to transforming the way organizations access and utilize online data. By simplifying the complex process of web scraping, we enable businesses, researchers, and developers to effortlessly extract, analyze, and visualize valuable insights from vast digital landscapes. Our platform features advanced scheduling, robust error-handling, and seamless API integrations, ensuring that critical data is not only captured accurately but also integrated smoothly into existing workflows. At Scrapegraph, we are committed to empowering our clients with real-time, actionable intelligence, driving innovation and growth in today’s data-driven world while upholding the highest standards of security and compliance.",Active,https://www.linkedin.com/company/101881123
Fitporn SRL,https://www.eu-startups.com/directory/fitporn-srl/,Italy,Fitporn makes tasty foods and snacks that are also nutritionally balanced.,Naples,"foodtech, ecommerce, fmcg, functionalfood",Between €100K-€500K,2023,www.fitporn.com,IT,"Fitporn is on a mission to help people enjoy life without sacrificing taste, delivering functional foods that are as flavorful as ordinary ones.",Active,https://www.linkedin.com/company/fitporn/
