name,link,category,businessDescription,longBusinessDescription,basedIn,tags,totalFunding,founded,website,companyStatus,linkedin,country
FimmCyte,https://www.eu-startups.com/directory/fimmcyte/,Switzerland,"FimmCyte develops a novel immune system-based treatment, which demonstrated positive results through early preclinical studies. Endometriosis's first disease-modifying treatment",,Basel,"Biotechnology Research, Endometriosis Treatment, Immune system,",No funding announced yet,2022,https://www.fimmcyte.com/,,,CH
Emissium,https://www.eu-startups.com/directory/emissium/,Switzerland,"Emissium is a blockchain-based technology which has a vision to speed up the transition to more sustainable living by decarbonizing energy consumption. The actual carbon footprint is connected to the grid's electrical flow by Emissium. When and where it matters, cut back on your emissions.",,Sion,"Blockchain, Sustainability, Decarbonizing Energy",No funding announced yet,2022,https://www.emissium.io/,,,CH
Enhance-d,https://www.eu-startups.com/directory/enhance-d/,Switzerland,"The single digital hub for diabetes self-management the sole digital platform for managing diabetes on your own. a methodical approach to design and data. for users, payers, and healthcare professionals.",,Bern,"Software , SaaS, Diabetes",No funding announced yet,2022,https://www.enhance-d.com/,,,CH
eightinks,https://www.eu-startups.com/directory/eightinks/,Switzerland,"eightinks vision is to accelerate the transition toward a sustainable future. Solutions for solid-state batteries. We at eightinks enable solid state batteries to perform to their maximum potential by producing the most potent lithium ion batteries. We can combine scalable manufacturing, innovative cell designs, and high performance materials thanks to our own production technology. We are able to give the greatest cells possible because of this.",,Ruschlikon,"Energy, Batteries, Novel Cell Designs",No funding announced yet,2022,https://eightinks.com/,,,CH
Dragonlabz,https://www.eu-startups.com/directory/dragonlabz/,Switzerland,"Founded in Switzerland, Dragonlabz is a venture studio dedicated to assisting entrepreneurs and digital startups in establishing profitable businesses in the B2B SaaS, FinTech, Web3, DeFi, NFT, GameFi, and Metaverse sectors. The team is made up of previous venture capitalists who came together under a single brand to assist other founders in gaining access to critical information and contacts as well as cutting-edge flexibility to successfully enter the market. Dragonlabz is able to contribute knowledge and skills in the following areas thanks to its more than 15 years of experience, leadership of teams at the leading auditing firms, advice on more than 100 companies' go-to-market strategies, and help with the raising of more than $500 million: Design, Development, and DevOps, Marketing Strategy, Public Relations, and Legal",,Hergiswil,"ICT Services, IT Consultants, Web3 Experts",No funding announced yet,2022,https://www.dragonlabz.com/,,,CH
Corintis,https://www.eu-startups.com/directory/corintis/,Switzerland,"Corintis offers a game-changing solution to the cooling of next-generation high-performance GPUs, CPUs, and AI accelerators. It is developing silicon microfluidic cooling technologies that enable liquid coolant to flow in direct contact with the silicon chip. Dr. Remco van Erp, Sam Harrison, and Prof. Elison Matioli formed Corintis in 2022. It has its headquarters at the EPFL Innovation Park in Lausanne, Switzerland.",,Rolle,"EPFL, GPUs, CERN, CSEM",No funding announced yet,2022,https://www.corintis.com/,,,CH
ComplyTeq,https://www.eu-startups.com/directory/complyteq/,Switzerland,"A Trifork Labs initiative called ComplyTeq is on a mission to redesign KYC (know-your-customer) procedures such that you only need to complete them once. Since KYC is now becoming a must to operate, and customer experience is becoming a competitive factor, we operate with customer centricity and user experience at our heart. We now provide services to a number of customers in Europe and are developing our solution to meet both current onboarding and KYC requirements as well as those of the future KYC and identity wallet. Since we encounter the pull from numerous businesses wanting to enhance the consumer experience when obtaining customer information, we are industry agnostic. In addition to the conventional fintech clients and financial institutions, this also includes but is not limited to private jet operators, luxury hotels, and car rental companies.",,Zurich,"KYC, Jet Operators, Luxury Hotels",No funding announced yet,2022,https://www.complyteq.com/,,,CH
Zeitls,https://www.eu-startups.com/directory/zeitls/,Switzerland,"Zeitls is an agent connecting the real world with digital world. It aims to preserve historical pieces in their digital form for all eternity while accumulating funding and liquidity for their preservation in the real world. Zeitls strives to provide museums and art collectors with the means to keep their collections pristine, or even expand their collection.",,Freienbach,"Blockchain, Cryptocurrency, Web Development",No funding announced yet,2022,https://zeitls.ch/,,,CH
Blitz Diagnostics,https://www.eu-startups.com/directory/blitz-diagnostics/,Switzerland,"Blitz is a proof-of-concept one-stop-shop platform that covers the majority of the IVD nomenclature with the goal of delivering quicker results so that decisions can be made more quickly and to make testing easier for patients with limited access to healthcare, moving toward a more patient-centered approach. The combination of NA detection (PCR, INAA), macromolecule detection (ELISA), activity assays (colorimetric testing), culture assays, and even 3D-bioprinting makes it distinctive.",,Bern,"faster testing, diagnostics , delivering fast",No funding announced yet,2022,https://blitz-diagnostics.ch/,,,CH
Xterio,https://www.eu-startups.com/directory/xterio/,Switzerland,"Xterio is a free-to-play-and-earn game developer and publisher. It was founded by veterans of the game industry with a mission to create deep and rich gaming experiences driven by player ownership. The Video Game Company is based in Zug, Switzerland.",,Zug,"Video Game Company, game developer and publisher, Entertainment",Above €25 million,2022,https://xter.io/,,,CH
Zurich Soft Robotics,https://www.eu-startups.com/directory/zurich-soft-robotics/,Switzerland,"Founded in 2022 with a team of diverse expertise, Zurich Soft Robotics offers: Solskin™, a second building skin that offers a unique combination of dynamic PV system and sun protection. Solskin™ increases PV energy production by more than 40% through active solar tracking and the AI-controlled shading reduces building air conditioning energy by 20-80% compared to conventional systems. This also improves the occupants' comfort and well-being.",,Zurich,"Technology, Machinery Manufacturing, Industrial",Between €1-€100K,2022,https://www.solskin.swiss/en,,,CH
Bollwerk,https://www.eu-startups.com/directory/bollwerk/,Switzerland,"Bollwerk is a professional, all-inclusive, collaborative financial analytics application that offers information and research expertise to users so they may make more informed decisions about their investments and risk management. In order to find previously unknown or underreported hazards, Bollwerk uses a combination of machine learning and quantitative research to collect, analyse, and organise financial and non-financial data about public firms and products.",,Zurich,"Financial analytics, data and research, risk management",No funding announced yet,2022,https://www.bollwerk.io/,,,CH
Block Green,https://www.eu-startups.com/directory/block-green/,Switzerland,"Block Green is democratising the Bitcoin mining market globally and paving the way for the switch to sustainable energy. Block Green resolves one of the industry's most urgent problems: financing the green transformation of the whole global Bitcoin mining business. Block Green does this by linking owners of digital assets with sustainable mining operations in need of liquidity.Some of the top venture capital firms in the world, including Founders Fund, Coinbase Ventures, and Global Founders Capital, have backed our initiative.",,Zug,"ecosystem accelerating, financial products,attractive applications",Between €2.5 million-5 million,2022,https://www.block.green/,,,CH
Biosimo,https://www.eu-startups.com/directory/biosimo/,Switzerland,"We are a chemical engineering start-up with the goal of creating and running procedures to generate platform chemicals made from renewable sources. Chemical, industrial, and consumer goods manufacturers who are looking for alternatives to materials derived from crude oil are some of our clients. Without altering their design, supply chain, or market price, commonplace products like fabrics, glues, and films can become greener thanks to our bio-based chemicals.",,Zurich,"chemical engineering, cost-effective technologies, chemical industry,",Between €100K-€500K,2022,https://www.biosimo-chemicals.com/,,,CH
Bcyber,https://www.eu-startups.com/directory/bcyber/,Switzerland,"BCyber is an IT company that provides security products and protects diverse IT and OT domains against cyber and physical threats. A Swiss cyber security firm called BCyber offers security tools, instruction, and managed services to safeguard various IT and OT environments against online, offline, and cross-domain dangers. We are Humanity-focused Ethical Hackers. By identifying and developing the best personnel, we serve our clients. Overproportionally, members of our team come from economically underdeveloped regions of southern Europe. We firmly believe in living life to the fullest and working wherever we please.",,Chiasso,"IT, OT, Cyber security",No funding announced yet,2022,https://www.bcyber.ch/,,,CH
Batterylog,https://www.eu-startups.com/directory/batterylog/,Switzerland,"Batterylog constantly updates the battery status and alerts the user to untapped optimization potential. In this way, Batterylog significantly extends the battery's usable life. The battery is made digitally visible and maintainable by a digital twin. The solution is modular with both generic building blocks and specialised customer extensions. This enables the costs to be kept low, the usage to be optimised, and the planning to be improved.",,Berne,"IT, Batterylog, Digital twin",No funding announced yet,2022,https://www.batterylog.ch/,,,CH
Appik Studio,https://www.eu-startups.com/directory/appik-studio/,Switzerland,"Appik Studio, mobiles & web applications. We are committed to create efficient, custom and pixel perfect applications to meet your objectives. >>>>>>>>> french >>>>>>>>> Appik Studio, agence de crÃ©ation dâ€™applications mobiles et web. Notre objectif est de crÃ©er des applications sur mesure, performantes, pour toute plateforme rÃ©pondant Ã vos objectifs. We produce effective and cutting-edge custom mobile apps.",,Lausanne,"Mobiles, Web applications, Pixel perfect applications",No funding announced yet,2022,https://www.appik-studio.ch/,,,CH
AirConsole,https://www.eu-startups.com/directory/airconsole/,Switzerland,"By converting any Android TV or desktop browser into a gaming console and smartphones into gamepads, the breakthrough video game platform AirConsole revives local multiplayer gaming in the most natural way.",,Zurich,"Android TV, Smartphones, Gamepads",No funding announced yet,2022,https://www.airconsole.com/,,,CH
Albusi,https://www.eu-startups.com/directory/albusi/,Switzerland,"Online marketplace Albusi allows business owners to purchase services from independent business advisors. You can look through the portfolios of our experts, talk about your needs, and choose the ideal one for your company. We employ a diverse group of professionals, including authors, designers, analysts, and business strategists. Each one of them is a specialist at selling your company to investors. Over 150 clients' businesses have been transformed and grown by us so far.",,Zurich,"Online marketplace, whitepapers, Freelance, Business Consultants",No funding announced yet,2022,https://albusi.com/,,,CH
42hacks.com,https://www.eu-startups.com/directory/42hacks-com/,Switzerland,We accelerate real change for climate through untapped human potential. We organize collective hackathons around selected clusters (e.g. railways) - as well as the funding and support for ultimately 420 teams to execute on the most promising prototypes within clusters.,,Trogen,"climate, Collective Hackathons, prototypes",No funding announced yet,2022,https://www.42hacks.com/,,,CH
Jua,https://www.eu-startups.com/directory/jua/,Switzerland,"A new paradigm in weather forecasting. AI learning physics. Delivering accuracy beyond expectation. Covering use cases beyond belief. Accessible to everyone, wherever in the world they are. The world's first end to end deep learning model for weather forecasting, delivered on an intuitive platform for anyone to customise it. Startups,governments and large companies alike can now develop global, high frequency and high accuracy weather models within days.",,Freienbach,"Information, Technology Internet, Machine Learning, SaaS",Between €2.5 million-5 million,2022,https://www.jua.ai,,,CH
SOORTÂ®,https://www.eu-startups.com/directory/soort/,Switzerland,"SOORT is revolutionizing responsible consumption through AI-driven fintech solutions, connecting consumers with over 650 sustainable shops for a greener future.","SOORT is a Swiss-based fintech and greentech startup on a mission to lead the way to responsible consumption. Utilizing cutting-edge AI technology, our platform serves as a personalized shopping copilot, connecting consumers with a curated list of over 650 sustainable shops. We're not just a platform; we're a movement committed to ecological integrity and ethical decision-making.
Our upcoming AI-powered copilot will offer personalized, eco-friendly solutions, making it easier than ever for consumers to make responsible choices. We've also developed proprietary technology that scrapes product information from our partner shops, ensuring a seamless and informative shopping experience.
We're actively seeking visionary investors who understand the market potential of SOORT and align with our mission and values. With a focus on both the consumer and the planet, we aim to make a significant impact in the fight against climate change while also offering a lucrative opportunity for our investors.",Winterthur,"fintech, climate tech, AI, Blockchain",Between €1 million-€ 2.5 million,2022,https://soort.eco,Active,https://linkedin.com/company/soorteco/,CH
Mamimoves,https://www.eu-startups.com/directory/mamimoves/,Switzerland,"Mamimoves is the leading online yoga platform designed to specifically support the various needs and requirements of modern women during their pregnancy, postnatal phase and after.","Mamimoves is the leading online provider for pregnancy and postnatal yoga combining individualised on demand classes as well as live online group yoga classes including a personal exchange over current issues and topics. This combination helps women during this phase to profit from experience, group support and relevant information.
In addition we invite specialised doctors and experts to our monthly Expert & Mami classes where we provide inside knowledge in the fields of female physiology, psychology, nourishment and working mom.
Mamimoves has been created with the help of gynaecologists, midwifes and the help of our users and is recommended by swiss doctors.
Our goal is to deliver the highest quality and competency to support the needs of modern pregnant women and mothers. The feedback of our customers shows that a digital solution can satisfy all of the requirements and yet allows to build closeness, real time exchange and a community!
Join our free trial and convince yourself.",Zurich,"pregnancy yoga, postnatal yoga, yoga for women, femtech",Between €100K-€500K,2022,https://mamimoves.com/,,,CH
Navignostics AG,https://www.eu-startups.com/directory/navignostics-ag/,Switzerland,Finding the right drug for each patient: Data-driven diagnostics through spatial single-cell proteomics,"Our mission is to identify the ideal treatment to battle each cancer patient’s disease and reduce suffering throughout their journey.
At Navignostics we characterize tumors using spatial single-cell proteomics. We use our unique capabilities to identify a cancer treatment that will optimally fight each patient’s tumor. We also accelerate cancerdrug development by providing key insights into drug mechanisms and tumor features for companion diagnostic development.
Our highly robust and reliable technology and our leading data analytics position us ideally to enable precision cancer diagnostics for patients and to provide services to pharma and biotech partners.
This way we help people suffering from cancer by making more drugs available and by finding the right one for every patient.",Zurich,"Diagnostic, Proteomics, MedTech, Biopharma, Biotechnology, Life Science, Precision Medicine, Personal Health",No funding announced yet,2022,https://www.navignostics.com/,,,CH
CARRAT,https://www.eu-startups.com/directory/carrat/,Switzerland,Smart Jewellery that protects you.,"CARRAT: Revolutionizing Personal Safety with Stylish Tech Jewelry
CARRAT is a dynamic startup at the forefront of the personal safety industry, dedicated to bringing peace of mind and empowering individuals through innovative tech jewelry. Our mission is to redefine the way people protect themselves while enhancing their style and self-expression.
At the heart of CARRAT's vision is a commitment to addressing the urgent problem of personal security. With alarming statistics indicating the prevalence of physical and sexual violence, as well as rising insecurities related to physical safety, we recognized the need for a comprehensive solution that combines fashion and functionality.
Our flagship product is a discreet bracelet that seamlessly integrates state-of-the-art safety features. It allows users to trigger simultaneous alerts to up to five trusted contacts, share their live location for up to 48 hours, and actively record audio for reporting purposes. The standalone features ensure that users are protected wherever they go, regardless of international boundaries.
What sets CARRAT apart is our unwavering focus on delivering high-quality, personalized jewelry. Our customers have the freedom to choose from a range of options, including gold 18K, silver 925, and rose gold, allowing them to express their individual style while prioritizing personal safety.
With an already impressive customer base of over 355 pre-order clients, CARRAT has gained considerable traction in the market. We have witnessed strong demand for our products and received positive feedback from satisfied customers who appreciate the discreet and stylish nature of our tech jewelry.
Our journey has been marked by significant milestones and achievements. We have successfully developed multiple versions of our product, ensuring continuous improvement and enhanced functionality.
CARRAT operates in a market with immense potential. The safety wearable market is experiencing a CAGR of 14.7%, and our target customer segment of 153 million women between the ages of 35-54 presents a substantial opportunity for growth. Concerns regarding the safety of women and children, along with the increasing adoption of wearables, create a favorable environment for CARRAT's unique value proposition.
As we look to the future, CARRAT is focused on expanding our market reach through various distribution channels, including e-commerce, retail, and distributor partnerships. Our revenue model encompasses both bracelet sales and a premium subscription, offering recurring revenue through features like live monitoring 24/7 by a professional security company and live location sharing.
CARRAT's dedicated and experienced management team, led by CEO Alexandre Cerret, brings a wealth of expertise in business development, fashion marketing, technology development, and engineering. With their collective passion for innovation and commitment to customer satisfaction, the team is poised to drive the company's future growth and success.
We invite you to join us on this exciting journey as we revolutionize the security tech industry. With your support, we can continue to make a significant impact, empowering individuals to live their lives with confidence and peace of mind.",geneva,Safety/Jewellery/IOT/Wearables,Between €100K-€500K,2022,https://my-carrat.com,Active,https://www.linkedin.com/company/carrat/mycompany/?viewAsMember=true,CH
PlayShuttle,https://www.eu-startups.com/directory/playshuttle/,Switzerland,"We are a small team and parents ourselves from Zurich. Our goal is to make it easier for all parents to plan their free time. Questions, suggestions, ideas .. ? Leisure tips for children in and around Zurich. The best leisure tips & excursion destinations. More than 10,000 parents from Zurich plan their free time with PlayShuttle . Just try it. Doesn't hurt .",,Zurich,"Events, Web Apps, Destination",No funding announced yet,2022,https://www.playshuttle.com/,,,CH
Twyg AI,https://www.eu-startups.com/directory/twyg-ai/,Switzerland,"Twyg is a technology and AI company that builds software to help organizations understand their customers.  Customer centricity has huge benefits to companies and their customers. Yet, customer centricity is expensive. Our mission is build tools our users love and that equip them to identify and take actions to improve the experience of their customers.",,Stockholm,Software,No funding announced yet,2022,https://www.twyg.io/,,,CH
PRODUCER,https://www.eu-startups.com/directory/producer/,Switzerland,"PRODUCER is an all-in-one cloud-based software that provides a suite of digital tools to manage all stages of video production, in one place. Our solution reduces the complexity of producing and managing video content, by consolidating multiple tools and point-to-point solutions used to solve specific steps of the production process, into one unified system.

PRODUCER assists ambitious filmmakers, creatives, storytellers and teams to get full control in managing the complexity of developing and executing a successful production.",,Zurich,"Film, Film Production, Media and Entertainment, SaaS, Software, TV Production",No funding announced yet,2022,https://www.the-producer.io/,,,CH
Thinkgate,https://www.eu-startups.com/directory/thinkgate/,Switzerland,"Founded in Switzerland’s Silicon Valley, The Center of Innovation and Digitalization (ZID), with deep technical expertise and support from the most recognized academic background in machine learning, trusted by the best in aviation.

Our key goal is to optimize resource utilization, enabling airport stakeholders to immensely cut costs and provide a better level of service for their passengers.  Thinkgate can help optimize airport real-time planning and operations management.

Thinkgate, our precision flow software, is developed in collaboration with the leading Swiss Research Institute, designed with a better predictive model enabling automated decision support.",,Stettlen,"Information Technology, Software, Travel",Between €100K-€500K,2022,https://www.thinkgate.ch/,,,CH
Sigoor,https://www.eu-startups.com/directory/sigoor/,Switzerland,"Sigoor is a digital products and solutions provider, specialising in FinTech, DeFi, IoT and AI/ML. Our multi-disciplinary team provides end-to-end support for PoC, MVP and final product development for financial companies, service providers and manufacturers. Using a value-based approach, we collaborate iteratively and with agility to deliver for our partners. In the process we add value for their end customers while generating revenue for their businesses.  It is from Lucerne, at the heart of Central Switzerland, that we are driving innovation initiatives for both our local and international clients. In line with your strategy and where you are on the digital transformation journey, we offer tactical support and develop creative solutions to grow and evolve your business through innovation and technology. We combine strategy, technology, design and execution in our work to drive efficiency for you.",,Root,"Blockchain, FinTech, Internet of Things, Machine Learning, Software",No funding announced yet,2022,https://sigoor.com/,,,CH
Agnostic Intelligence,https://www.eu-startups.com/directory/agnostic-intelligence/,Switzerland,"Founded in February 2022, Agnostic Intelligence is an AI-powered B2B SaaS platform that automatically analyses different sources and continuously determines the associated company cybersecurity risks for the supply chain. We have created a powerful solution that digitises and automates the whole process. With one click, you can get a holistic overview of all your suppliers’ risks. Our software uses advanced algorithms and machine learning to analyse the supply chain and identify potential cyber risks. It provides real-time monitoring and alerts organisations of any potential security breaches or vulnerabilities in the supply chain.",,Zug,"Cybersecurity, Supply Chain, SaaS",No funding announced yet,2022,https://www.agnostic-intelligence.com/,,,CH
Happie,https://www.eu-startups.com/directory/happie/,Switzerland,We are on a mission to make sustainable food consumption easy & tasty. By showing the world that the zero-waste food supply chains do not need to be complicated. Zero waste meal kit with healthy recipes & local products.,,Basel,"Food, Beverage Services, Health, Supply Chain",Between €100K-€500K,2022,https://happie.ch/,,,CH
Kleap,https://www.eu-startups.com/directory/kleap-2/,Switzerland,AI-driven mobile website builder.,"Kleap revolutionizes websites with a user-friendly mobile AI-powered platform. Imagine the simplicity of Instagram combined with the capabilities of WordPress - that's Kleap. Seamlessly generate professional, responsive designs, without any technical expertise, allowing you to focus on your passion. Our mission: empower users to build a robust online presence while concentrating on their core activities.",Martigny,"Website builder, ecommerce, Artificial Intelligence",No funding announced yet,2022,https://kleap.co/ai-website-builder,,,CH
Simulatory,https://www.eu-startups.com/directory/simulatory-gmbh/,Switzerland,"Re-imagine surgical simulation with smart simulation platform, powered by true 3D haptics, Smart sensors and Machine learning AI",,Zurich,"robotics, AI, Edtech, haptics",Between €1-€100K,2022,https://www.thesimulatory.com/index.html,,,CH
Cosmic Dolphins,https://www.eu-startups.com/directory/cosmic-dolphins/,Switzerland,"The first Swiss-made smartphone focused on privacy and security.
We're eliminating the need for all the information that current phones collect on users often without their consent. We have made an alternative, a phone that does not collect any information and gives the choice to the user to give the information they're comfortable with. In this way, the phone owner can use all their usual applications in a secure environment.","We've developed an operating system, CosmicOS that we've installed on our phone. We have working prototypes, and we plan to ship the first smartphone in June this year. The smartphones are assembled and the OS is installed in Switzerland, so we have 100% control over all aspects of the phone. We will officially launch on March 19th on the Kickstarter platform.
We are Swiss made. Our users don't have to compromise, they can use their usual applications without having to sacrifice their privacy in return. We offer the user choice. We have made a phone that can be used exactly like a standard phone so that the user does not have to change their habits.",Lausanne,"Best privacy phone, most secure smartphone, Swiss phone",No funding announced yet,2022,https://thecosmicdolphins.com,,,CH
Windmill,https://www.eu-startups.com/directory/windmill/,Switzerland,"Windmill is a digital design agency dedicated to delivering impactful digital products and solutions that resolve modern challenges.

We’re a global operation headquartered in Switzerland, with offices throughout Europe, the US, and India. We are a diverse team of digital strategy, experience design, and enterprise engineering specialists with extensive backgrounds in complex product design and delivery for banking, healthcare, compliance, and other industries.

With our proven design thinking methodology, we offer clients and partners the trusted guidance and technical support required to explore transformative opportunities and strategically execute them. We offer a premium service and are dedicated to making each engagement a success.","Windmill is a digital design agency dedicated to delivering impactful digital products and solutions that resolve modern challenges. We’re a global operation headquartered in Switzerland, with offices throughout Europe, the US, and India.
We are a diverse team of digital strategy, experience design, and enterprise engineering specialists with extensive backgrounds in complex product design and delivery for banking, healthcare, compliance, and other industries. 
With our proven design thinking methodology, we offer clients and partners the trusted guidance and technical support required to explore transformative opportunities and strategically execute them.
We offer a premium service and are dedicated to making each engagement a success. 
Visit www.windmill.digital to learn more.",Baar,"App Development, App Design, Product Management, Digital Transformation,",No funding announced yet,2022,https://www.windmill.digital/,,,CH
PeopleKult,https://www.eu-startups.com/directory/peoplekult/,Switzerland,"PeopleKult (re)shapes work cultures. We equip people with the skills, mindsets and behaviors to deliver business and human value.",,Geneva,"work culture, employee engagement, company values, performance",Between €1-€100K,2022,https://www.peoplekult.com/,,,CH
CRUZO,https://www.eu-startups.com/directory/cruzo/,Switzerland,Multi-chain NFT marketplace & Web3 platform for digital emotions,"Cruzo is the first multi-chain NFT marketplace and Web3 platform for digital emotions. Creators, users, collectors, and Brands can meet and interact with digital content released in NFT: greetings, postcards, stories, invites, gifts, party goods for Metaverse, etc.
By providing utility and ownership with the help of Blockchain technology, we will open a completely new Web3 experience in terms of engagement, loyalty increase, and monetization for Brands, Influencers, Celebrities, Bloggers, and others.
Cruzo as a part of a new Creator's economy will contribute to developing tools and services for the new generation of NFT Creators helping them monetize their artworks and increase their popularity. Thanks to this, users will have more creative opportunities for sharing emotions in a digital world.
Our mission is to give emotions and happy moments to everyone, and advance the mass adaption of NFTs through a revolutionary greeting cards and gifts marketplace.",Bern,"nft, marketplace, web3, greetings",No funding announced yet,2022,https://cruzo.cards/,,,CH
Remotion,https://www.eu-startups.com/directory/remotion/,Switzerland,"Remotion is a technology that assists remote businesses in setting up completely automatic online team-building activities to develop a positive workplace culture. Teams participate in games like Mafia, 2 truths and a lie, spy, and others at this time. Most of our clients are small and medium-sized remote IT enterprises.",,Zurich,"IT, API, Video Media",Between €100K-€500K,2022,https://www.remotion.dev,,,CH
Recolony,https://www.eu-startups.com/directory/recolony/,Switzerland,Recolony is a Swiss biotech start-up that wants to create an oral medication based on bacteria that can both treat and prevent cancer. A microbial-based treatment for colorectal cancer is called recolony.,,Zurich,"Colorectal cancer, Biotechnology, Prevent Cancer",No funding announced yet,2022,https://www.recolony.ch/,,,CH
QuantX Analytics,https://www.eu-startups.com/directory/quantx-analytics/,Switzerland,"QuantX Analytics develops research tools & financial products. QuantX is developing the financial analytics platform of the future, enabling people and organisations to make more intelligent investment and risk management choices.",,Zurich,"Information Service, Finance analytics, Research tools",No funding announced yet,2022,https://www.quantxanalytics.com/,,,CH
Premium Diamond Solutions,https://www.eu-startups.com/directory/premium-diamond-solutions/,Switzerland,"High-quality diamond and CBN powders processed in Europe are distributed by Premium Diamond Solutions SA, along with derived diamond goods including polycrystalline PCD. These powders are used in the tooling business. With the help of a motivated and skilled staff, Premium Diamond Solutions SA rose to prominence as a top provider of custom solutions for cutting, grinding, drilling, and polishing processes used in a variety of sectors. Over 50 years have been spent by the company collectively in the diamond industries.",,Geneva,"CBN powders, tooling industry, products",No funding announced yet,2022,https://www.predias.eu/,,,CH
OZAM,https://www.eu-startups.com/directory/ozam/,Switzerland,"OZAM actively contributes to the promotion of sport and culture as well as the growth of the local economic fabric. a distinctive mobile and web application that makes life easier for residents, towns, organisations, and business owners. With the assistance of the Cities, trade associations, and the neighbourhood multimedia provider",,Martigny,"Citizens, Development, Communication",No funding announced yet,2022,https://ozam.ch/,,,CH
Openversum,https://www.eu-startups.com/directory/openversum/,Switzerland,"By combining a cutting-edge filtration membrane system (more effective and less expensive than competing options) with a microfranchising distribution method, Openversum addresses the issue of safe and inexpensive drinking water.Thanks to our fleet of local entrepreneurs, our filters are already helping 100 families in Ecuador.",,Zurich,"membrane system, entrepreneur network, Microfranchising ecosystem",No funding announced yet,2022,https://openversum.com/,,,CH
OPTIML,https://www.eu-startups.com/directory/optiml/,Switzerland,"OPTIML is a comprehensive software platform that uses optimization to produce smart, low-cost, and low-carbon investment solutions for existing structures. The innovative data-driven methodologies scaled from the asset to portfolio level help real estate owners and consultants with greater productivity and accuracy for multi-year",,Zurich,"Software, Sustainability, Real Estate",No funding announced yet,2022,https://www.optiml.ch,,,CH
onXRP,https://www.eu-startups.com/directory/onxrp/,Switzerland,"With the aim of bringing web 3.0 to the XRPL, the onXRP platform is an ecosystem built on the XRPL. The content and trading module is the first of numerous modules that make up the platform. Each module benefits the community as well as the XRPL-based projects. the internet of value after starting with the internet of information. OnXRP can be thought of as a networked ecosystem built by and for the community.",,Zug,"ecosystem built , XRPL projects building",No funding announced yet,2022,https://onxrp.com/,,,CH
OneTwenty,https://www.eu-startups.com/directory/onetwenty/,Switzerland,"OneTwenty is a start-up in the early stages of the health technology industry that creates a variety of Machine Learning-based solutions for diabetics as well as Medtech firms for sensor optimization, biomarker prediction, glucoregulatory models, and iAGC (interoperable automated glycemic controller). Our approach shows 120 minutes in advance blood glucose prediction with previously unheard-of accuracy. People with Type 1 diabetes can live completely new lives because to OneTwenty.",,Zurich,"food, Metabolic Care, generic guidelines",No funding announced yet,2022,https://onetwenty.ai,,,CH
Sensawear,https://www.eu-startups.com/directory/sensawear/,Switzerland,"Sensawear is in the the medical equipment manufacturing industry. The company develops wearable, textile-integrated tissue oxygenation and pressure sensors using the principle of near-infrared spectroscopy. Special fiber optics seamlessly integrated into clothing will give users real-time feedback of their tissue oxygen saturation and pressure against the skin. This will allow the user to be aware of low-oxygenation conditions induced by high-pressure points, indicating they should move or be moved. The company is based in Bern, Switzerland.",,Bern,"Medical Equipment Manufacturing, Medical Equipment, technology",No funding announced yet,2022,https://www.sensawear.ch/,,,CH
MindMetrix,https://www.eu-startups.com/directory/mindmetrix/,Switzerland,"MindMetrix uses an eye-tracking-based neurofeedback methodology to create a platform for mental training. MyFlow, a user-friendly programme for mental training, is the first step in our effort to increase mental wellbeing worldwide. Our goal is to put the intangible and the intellect into numerical form.",,Zurich,"Wellness, Fitness, Mental Training",No funding announced yet,2022,https://www.mindmetrix.ch/,,,CH
Top Fives Media,https://www.eu-startups.com/directory/top-fives-media/,Switzerland,"Top Fives is a digital media and entertainment company that curates and publishes amazing content from around the Globe. The company researches, rates and reviews everything from new Technology, Humor, Sports, Entertainment (Popular music, art, movies and series) and Travel. Its aim is to provide a non-biased opinion on popular culture and provide its viewers and readers with insights in to the very best of everything new feature.",,Zurich,"digital media, entertainment, Technology",No funding announced yet,2022,https://topfiv.es/,,,CH
Trenda,https://www.eu-startups.com/directory/trenda/,Switzerland,"Trenda is a SaaS platform for trends couting and actionable innovation insights. With Trenda, you get everything relevant to banking innovation on one platform. Banks and management consultancies rely on Trenda to use relevant and up-to-date trend and innovation information in a targeted and efficient manner.",,Wallisellen,"Business Intelligence Platforms, Trends, Banks",No funding announced yet,2022,https://trenda.ch/,,,CH
KUORI,https://www.eu-startups.com/directory/kuori/,Switzerland,"The cleantech startup KUORI creates and markets unique, sustainable materials using culinary waste streams like banana peels and nutshells.
KUORI materials are designed to be elastic, biological in origin, and biodegradable in the spirit of the circular economy. Their initial use is to prevent the damaging abrasion of microplastics into soil and water in shoe outsoles.",,Basel,"Cleantech, develops and sells, economy",No funding announced yet,2022,https://kuori.ch/,,,CH
GRN GRID,https://www.eu-startups.com/directory/grn-grid/,Switzerland,"GRN GRID is a layer-1 blockchain with cutting-edge decentralised finance capabilities that is environmentally sustainable, scalable, and stable. GRNGrid is releasing a new consensus protocol called PoSv2 for its own blockchain, dubbed Grid, as well as innovative features for a better user experience and more straightforward use of cryptocurrencies. Join the GRN adventure and aid in constructing a better future.",,Zug,"GRNGrid's, Blockchain, Sustainable, Crypto",Between €5 million-€10 million,2022,https://grngrid.com/,,,CH
