name,link,category,businessDescription,longBusinessDescription,basedIn,tags,totalFunding,founded,website,companyStatus,country,linkedin
EuroCom CX,https://www.eu-startups.com/directory/eurocom-cx/,Romania,"EuroCom CX is a BPO Outsourcing Digital Center.
Coming from the house of experts, We are an established service provider company succeeding for more than 10 years in the area of:
- CX & Costumer Care
- Customer Service & Contact Centers
- BPO & Outsourcing
The sectors we cover are as following:
Automotive
Healthcare
Education Insurance
Financial
Gaming
E-Commerce
Telecommunications
Airlines
Travel & Hospitality
Retail
Energy & Utilities
Logistic and Supply Chain
Understanding that quality is the Key Factor on a Business Continuation relationship we have Certifications as ISO 9001 and 27001, GDPR Compliance, PCI DDS.
We cover our Services in
English, Italian, Spanish, French, German, Greek, Turkish, Dutch, Bulgarian, Hungarian, Polish, Arabic, Romanian and Serbian.",,Cluj-Napoca,"BPO, Outsourcing, Customer Experience, Multi Lingual, Contact Centers, Global Business Services",No funding announced yet,2024,https://eurocomcx.com/,Active,RO,https://www.linkedin.com/company/eurocom-cx/
Madalin Ciuculescu,https://www.eu-startups.com/directory/madalin-ciuculescu/,Romania,"Madalin Ciuculescu is a internet personality,a Romanian designer born in the city of Timisoara ,mainly specializing in interior design and architectural visualization. The 25 years old is known for blending functionality with aesthetics in his projects, often catering to both residential and commercial spaces. As the founder of Madalin Ciuculescu Interior Design, Ciuculescu employs advanced design techniques to craft realistic 3D renderings that help clients visualize their spaces before execution.  His expertise lies in creating designs that are modern, minimalistic, and highly detailed, ensuring that every project aligns with the client’s vision and lifestyle. His portfolio showcases various innovative projects, emphasizing quality craftsmanship and attention to detail. He has a reputation for using cutting-edge tools and artistic approaches to deliver immersive and practical solutions.
Altough he is mainly an interior designer,he is also involved into other fields such as modeling.","Madalin Ciuculescu is a internet personality,a Romanian designer born in the city of Timisoara ,mainly specializing in interior design and architectural visualization. The 25 years old is known for blending functionality with aesthetics in his projects, often catering to both residential and commercial spaces. As the founder of Madalin Ciuculescu Interior Design, Ciuculescu employs advanced design techniques to craft realistic 3D renderings that help clients visualize their spaces before execution.  His expertise lies in creating designs that are modern, minimalistic, and highly detailed, ensuring that every project aligns with the client’s vision and lifestyle. His portfolio showcases various innovative projects, emphasizing quality craftsmanship and attention to detail. He has a reputation for using cutting-edge tools and artistic approaches to deliver immersive and practical solutions.
Altough he is mainly an interior designer,he is also involved into other fields such as modeling.",Timisoara,"Interior Design, Internet Personality",No funding announced yet,2024,www.madalinciuculescu.com,Active,RO,
Git Digest,https://www.eu-startups.com/directory/git-digest/,Romania,"Git Digest is an AI-driven platform designed to enhance communication within software development teams. By providing clear and concise summaries of code changes, Git Digest helps team leaders and founders stay updated on project progress without needing to understand technical details. The platform automates updates, replacing traditional daily stand-ups with efficient notifications delivered directly to users' inboxes.

By simplifying the communication process, Git Digest fosters better collaboration and decision-making among team members. This innovative solution not only saves time but also empowers teams to focus on their core objectives. Whether you're part of a startup or a large organization, Git Digest offers a streamlined approach to project management, ensuring everyone stays aligned and informed.","Git Digest is an innovative AI-powered platform designed to revolutionize communication within software development teams. In today’s fast-paced tech environment, staying informed about code changes is crucial for team leaders and stakeholders. Git Digest addresses this need by providing clear, concise summaries of code changes, allowing users to understand project progress without needing to dive into the technical complexities of code commits.
The platform is specifically tailored for team leaders, founders, and non-technical stakeholders who want to keep their finger on the pulse of development activities. Instead of relying on traditional daily stand-up meetings, Git Digest automates the communication process by delivering AI-generated updates directly to users’ inboxes. This feature not only saves time but also eliminates the need for lengthy meetings, enabling teams to focus on what truly matters: driving their projects forward.
Git Digest’s AI technology analyzes code changes and distills the information into digestible summaries. This approach fosters improved collaboration and ensures that everyone, regardless of their technical expertise, is aligned with the team's progress. By simplifying communication, Git Digest empowers teams to make informed decisions and enhance their overall productivity.
In addition to streamlining communication, Git Digest supports better project management. By keeping team leaders informed about development milestones and changes, the platform enables proactive adjustments and more strategic decision-making. Whether you are managing a small startup or overseeing a large-scale project, Git Digest provides the tools necessary to maintain clarity and alignment across your team.
Ultimately, Git Digest is not just a tool; it’s a transformative solution for modern software development. By bridging the gap between technical details and managerial oversight, Git Digest ensures that everyone stays informed and engaged, paving the way for successful project outcomes.",Romania,"SoftwareDevelopment,AIAssistant,CodeChangeSummaries",Between €1-€100K,2024,https://gitdigest.ai,Active,RO,
Mixtazure,https://www.eu-startups.com/directory/mixtazure/,Romania,"Mixtazure is an agency specializing in SEO (search engine optimization) services in Romania. Mixtazure assists its clients in the process of website optimization, with the aim of improving organic traffic generated by the website and enhancing the conversion rate.","The agency offers all specific types of services in the area of search engine optimization, such as: On-Page SEO, Off-Page SEO, Technical SEO, etc. The agency's clients are mainly from Romania, but there is always the possibility of collaboration with foreign clients who speak English.",Cluj-Napoca,SEO Services,No funding announced yet,2023,https://mixtazure.com/,Active,RO,https://www.linkedin.com/company/mixtazure/
Medical Pilot,https://www.eu-startups.com/directory/medical-pilot/,Romania,"Digital assistant for managing medical processes. Created to optimize medical processes with accurate, standardized reports and securely stored data. 
It helps doctors save time by writing reports in real-time using voice commands, image, and video documentation. Gain time, efficiency, and satisfied patients.",,Zalau,"Quality, Medical processed, Standardization, Unify Care",No funding announced yet,2024,www.medicalpilot.eu,Active,RO,https://www.linkedin.com/company/medical-pilot/?viewAsMember=true
SQB Robotics,https://www.eu-startups.com/directory/sqb-robotics/,Romania,SQB Robotics creates AI driven & Robotics powered automated stores.,"SQBRobotics creates fully autonomous and robotic-operated stores/solutions that use advanced technologies such as artificial intelligence (AI) and smart inventory management systems, designed to help RETAILERS generate revenue around the clock, coupled with a seamless shopping experience for customers. 
With an initial investment, minimal operational costs and overhead, compared to traditional brick- and-mortar stores, we aim to transform the retail industry by providing a revolutionary way of generating revenue that's effortless, cost-effective, and always open.",Brasov,"AI, Robotics, retail, automated",Between €100K-€500K,2021,www.sqbrobotics.com,Active,RO,https://www.linkedin.com/company/sqb-robotics/posts/?feedView=all
Self Manager,https://www.eu-startups.com/directory/self-manager/,Romania,"Organize Tasks, Notes, and Images | Boost Your Productivity","Effortlessly organize your tasks, manage notes, and store images with our intuitive platform. Enhance your productivity and streamline both personal and professional projects. Experience secure, user-friendly management designed to keep you on top of your goals. Log in now to get started!",Carasova,"productivity,project management, todo",No funding announced yet,2024,https://self-manager.net,Active,RO,https://www.linkedin.com/company/self-manager-net
HomViz,https://www.eu-startups.com/directory/homviz/,Romania,"HomViz provides AI-powered tools for real estate professionals, including image upscaling, virtual staging, and property descriptions to enhance listings.","HomViz offers AI solutions to create visually appealing real estate listings quickly. Its services include virtual staging, interior/exterior redesign, property descriptions, and more, designed to boost inquiries and sales for real estate professionals.",Iasi,"AI, Virtual Staging, Property Descriptions, Real Estate Listings, Interior Design, Upscaling",No funding announced yet,2024,homviz.com,,RO,
Uinkits,https://www.eu-startups.com/directory/uinkits/,Romania,"Uinkits is your all-in-one Figma Design System and UI Kits featuring mobile, web, and dashboard UI elements, icons, and more – everything you need for endless creativity for your UI/UX designs.",,Bucharest,"Design System, Figma, Ui/Ux Design",Between €100K-€500K,2023,https://www.uinkits.com,Active,RO,https://www.linkedin.com/company/uinkits
BedStoryAI,https://www.eu-startups.com/directory/bedstoryai/,Romania,"BedStoryAI is an innovative AI-powered storytelling platform designed to create personalized bedtime stories for children. By harnessing the power of advanced artificial intelligence, BedStoryAI generates engaging narratives tailored to a child's interests, age group, and preferences. With just a few clicks, parents can customize elements like characters, settings, and themes, making each story a unique and magical experience that captures their child's imagination.",,Iasi,"AI Story Writer, AI Story Generator, Free Bedtime Stories",No funding announced yet,2024,https://bedstoryai.com,,RO,
Tendersight,https://www.eu-startups.com/directory/tendersight/,Romania,"Tendersight is an AI Operating System for Government Contracting that helps solopreneurs & tendering teams find, understand, and respond to tenders 10x faster and better.",,Bucharest,"government contracting,tenders,ai,tender management system",No funding announced yet,2024,trytendersight.com,Active,RO,
DevJob.ro,https://www.eu-startups.com/directory/devjobro/,Romania,DevJob.ro is the first Romanian IT job board built with Software Engineers in mind.,"Our goal is to bring more transparency, openness and diversity to the Romanian IT market.
We want to make the job search process for Software Engineers more enjoyable by gathering all job postings in Romania and presenting them in an informative way.
Our portal is not only for Developers but for everyone working in the IT industry: Engineers, SAP and System Admins, Product Managers, QAs and UX/UI Designers!",București,"job, job board, hiring, career",No funding announced yet,2020,https://devjob.ro/en/jobs/Data/all,Active,RO,https://www.linkedin.com/company/devjob-ro
FinancialAha,https://www.eu-startups.com/directory/financialaha/,Romania,Probably the best financial planning software for personal finances.,,Bucharest,"personal finance, financial planning, financial projections",No funding announced yet,2024,https://www.financialaha.com/,Active,RO,
Artetra,https://www.eu-startups.com/directory/artetra/,Romania,"Artetra is a cutting-edge digital platform designed to revolutionize the audiovisual, cultural, and creative sectors through innovative technology solutions. It provides a virtual exhibition space, an NFT marketplace, and a comprehensive software development kit (SDK) that empowers creators, artists, and cultural institutions to tokenize, display, and monetize their work in new ways. By leveraging the power of artificial intelligence, big data, and blockchain technology, Artetra is at the forefront of transforming the creative landscape and increasing the competitiveness of European content industries.

Mission
Our mission is to enhance the discoverability, visibility, and accessibility of European audiovisual and cultural content while providing sustainable monetization opportunities for creators. Artetra aims to support the cross-sectoral collaboration between creative industries and the audiovisual sector by offering a robust platform that adapts to the digital age and virtual world environments.

Core Offerings

Virtual Exhibition Spaces: A unique environment for showcasing creative works, enabling artists to reach global audiences.
NFT Marketplace: Empowering creators to tokenize their work, ensuring secure and transparent transactions and monetization.
SDK: A development toolset that allows institutions and developers to integrate Artetra’s functionalities into their own platforms, fostering cross-sectoral innovation.
Vision
We envision a world where European audiovisual and cultural sectors thrive in the digital age through innovative solutions that enhance audience engagement, foster artistic expression, and drive sustainable growth.","Artetra is an innovative digital platform dedicated to transforming the European audiovisual, cultural, and creative sectors through cutting-edge technology and strategic cross-sector collaboration. Our platform offers a comprehensive suite of tools, including virtual exhibition spaces, a secure (NFT) marketplace, and a versatile software development kit (SDK). These features are designed to empower creators, cultural institutions, and businesses to showcase, tokenize, and monetize their content while addressing the challenges and opportunities of the digital age.
Artetra’s goal is to provide an open, scalable infrastructure that fosters creativity, collaboration, and sustainable growth within the creative industries. By leveraging the latest advancements in artificial intelligence (AI), big data, and blockchain technology, we aim to create a seamless bridge between traditional cultural practices and modern digital solutions.
Mission
Our mission is to enhance the competitiveness of the European audiovisual and creative sectors by creating a platform that promotes innovation, transparency, and new forms of monetization. Artetra is committed to enabling artists, institutions, and businesses to thrive in a rapidly evolving digital environment by offering tools that address the pressing needs of content visibility, discoverability, and audience engagement.
Key Features
Virtual Exhibition Spaces: Artetra offers dynamic, immersive virtual environments where artists, museums, and creators can showcase their works to a global audience. These spaces provide flexibility in how content is presented, enabling users to curate exhibitions in unique ways that are not bound by physical limitations.
NFT Marketplace: At the heart of Artetra’s offering is a secure and transparent NFT marketplace. This feature allows creators to tokenize their work, facilitating secure transactions and opening new avenues for revenue generation. The marketplace supports various types of digital and physical content, ensuring a wide range of opportunities for artists and cultural organizations.
Software Development Kit (SDK): Artetra’s SDK empowers third-party developers and cultural institutions to integrate the platform’s features directly into their own systems. This fosters cross-sector innovation, allowing for broader applications of Artetra’s tools in different creative and cultural contexts, including audiovisual, performing arts, and heritage sectors.
Technological Innovation
Artetra integrates advanced AI and big data analytics to provide creators with actionable insights about audience preferences, market trends, and content performance. These insights help improve content creation, distribution strategies, and overall market competitiveness. Additionally, our blockchain infrastructure ensures transparency in transactions, protecting artists’ intellectual property while offering fair remuneration models.
Core Objectives
Enhancing Visibility and Discoverability: In the digital age, the visibility of European audiovisual and cultural content is essential. Artetra’s virtual spaces and distribution tools are designed to increase the reach of creative works, making them more accessible to wider audiences across borders.
Fostering Innovation in Monetization: The NFT marketplace introduces new ways for artists to monetize their work, ensuring creators have access to secure, transparent, and diverse revenue streams. By integrating these innovations, Artetra promotes economic resilience and sustainability within the creative industries.
Supporting Environmental Sustainability: Artetra is committed to the European Green Deal by promoting greener practices in the audiovisual and creative sectors. Through virtual solutions, we aim to reduce the environmental impact of physical exhibitions and content production while encouraging sustainable methods of content distribution and consumption.
Cross-Sector Collaboration
Artetra is designed with a cross-sectoral approach, targeting not only the audiovisual industry but also cultural institutions, museums, galleries, and other creative sectors. By bridging the gap between traditional creative industries and cutting-edge digital solutions, Artetra fosters a collaborative environment where stakeholders from different sectors can come together to innovate, create, and distribute content in new and exciting ways.
The platform supports the audiovisual sector, including feature films, TV series, animation, creative documentaries, and interactive immersive content. Through virtual exhibition spaces and advanced content distribution tools, Artetra helps audiovisual creators increase their visibility and connect with global audiences, while enabling cultural institutions to digitize their offerings and expand their reach.
Vision
Artetra envisions a thriving creative ecosystem where the European audiovisual and cultural sectors lead in both artistic innovation and digital transformation. Our goal is to become the primary hub for cross-sector collaboration, where creators, businesses, and cultural organizations can access the tools they need to engage audiences, monetize their content, and drive sustainable growth in an increasingly digital world.
Leadership and Expertise
Led by industry experts in technology, cultural heritage, and creative industries, Artetra brings together a multidisciplinary team with vast experience in developing innovative digital solutions. Our leadership team is dedicated to empowering European creatives by offering the technical infrastructure needed to adapt to the digital age while respecting the intrinsic cultural value that the European creative sectors bring to the world.",Timisoara,"Virtual 3D Spaces, E-commerce, Product awareness, Emotion Building, Sales Building",No funding announced yet,2022,https://artetra.io/,Active,RO,https://www.linkedin.com/company/artetra-io/
GRIDSEARCH,https://www.eu-startups.com/directory/gridsearch/,Romania,"n today's hyper-competitive market, attention is the new currency driving success. But at GRIDSEARCH, we understand that capturing attention is just the beginning. True excellence lies in how we focus, manage, and convert that attention into tangible results. By seamlessly integrating diverse sales channels into a unified ecosystem, we're not just attracting attention—we're transforming it into measurable growth. This is our vision for the future of e-commerce: where complexity becomes simplicity, and every customer interaction is a step toward business success.","It looks like you're interested in understanding the difference between e-commerce before and after implementing a multi-channel integration. Here’s a breakdown:
E-Commerce Before Multi-Channel Integration
Isolated Channels: Each sales channel (website, social media, physical store) operates independently, often leading to fragmented customer experiences.
Manual Management: Inventory, orders, and customer data need to be manually managed across each channel, increasing the risk of errors and inefficiencies.
Limited Reach: Businesses might be limited to one or a few sales channels, restricting their ability to reach a broader audience.
Inconsistent Branding: Maintaining a consistent brand experience across all channels can be challenging, as each platform may require different management strategies.
E-Commerce After Multi-Channel Integration
Unified Operations: All sales channels are integrated into a single platform, providing a seamless experience for customers across different touchpoints.
Automated Processes: Inventory, orders, and customer data are automatically synced across channels, reducing errors and freeing up time for other tasks.
Expanded Reach: Businesses can easily expand to multiple sales channels, including online marketplaces, social media, and physical stores, thereby reaching a larger audience.
Consistent Branding: Integration allows for consistent branding and messaging across all channels, improving the overall customer experience and brand loyalty.
Multi-channel integration is a strategic approach that not only streamlines operations but also enhances customer engagement and sales opportunities.",Alba Iulia,ecommerce/webshop/marketplace/Multi-Channel Integration,No funding announced yet,2022,https://integrator.gridsearch.ai,Active,RO,https://www.linkedin.com/company/gridsearch/about/?viewAsMember=true
FamShop eCommerce automation platform,https://www.eu-startups.com/directory/famshop-ecommerce-automation-platform/,Romania,"FamShop offers everything you need to optimize your operating costs related to invoice generation in ERP, inventory management, AWB generation, monitor competitor prices.",,Bucharest,"ecommerce,automation,invoicing",No funding announced yet,2016,https://famshop.org,Active,RO,https://www.linkedin.com/company/famshop
Seaplify,https://www.eu-startups.com/directory/seaplify/,Romania,"Seaplify is an digital platform designed to boost Human Capital Management in the maritime industry. We streamline recruitment, facilitate effective onboarding, and enhance continuous learning and retention, while uniquely bridging the communication gap between onshore staff and seafarers.","Seaplify leads the transformation of the maritime industry by elevating Human Capital Management (HCM). Our platform recognizes the value of maritime professionals not just as employees but as critical investments that drive company success.
Recruitment: Utilizing advanced AI, Seaplify’s job matching algorithm optimally aligns candidates with maritime roles, supported by AI-generated job descriptions and comprehensive listings. This ensures a seamless recruitment process, connecting companies with a qualified workforce efficiently.
Onboarding: Our platform enhances onboarding through active community engagement and a rich digital library, enabling new hires to integrate smoothly and quickly feel part of the maritime community.
Learning and Development: Seaplify’s extensive resources support ongoing education, while our tailored quizzes and tests ensure continuous professional development. These tools help seafarers stay current with industry standards and personal growth objectives.
Retention: A robust community platform and a rewards system lie at the heart of our retention strategy. This not only boosts job satisfaction but also fosters long-term loyalty among seafarers.
Connecting Onshore and Offshore Teams: Seaplify addresses a critical industry challenge—enhancing communication between onshore staff and seafarers. Our tools help bridge the disconnect, ensuring seamless interaction and integration of efforts across all levels of maritime operations.
Through these strategic initiatives, Seaplify not only improves operational efficiencies but also contributes to a sustainable, supportive, and connected maritime workforce. Our commitment to innovation and community makes us a leading choice for maritime companies aiming to thrive in a competitive global industry.",Suceava,"Innovative, Comprehensive, Community-focused, Supportive",No funding announced yet,2023,www.seaplify.com,Active,RO,https://www.linkedin.com/company/seaplify/
Rastel.io,https://www.eu-startups.com/directory/rastelio/,Romania,"We are a start-up that aims to solve the problem of bike parking by creating acompletely digitalised network that allows bikers to find, park, lock and monitor their bikes.",,Cluj-Napoca,Transportation,Between €5 million-€10 million,2022,https://www.rastel.io/,Active,RO,https://www.linkedin.com/company/84880868
Eastride,https://www.eu-startups.com/directory/eastride/,Romania,"Founded in 2017 in Cluj, the Eastride brand brings together under its umbrella three basic concepts born from the desire to offer innovative transport and logistics solutions.",,Cluj-Napoca,SaaS,Between €5 million-€10 million,2017,https://www.eastride.ro/,Active,RO,https://www.linkedin.com/company/eastride/
tranzy.ai,https://www.eu-startups.com/directory/tranzyai/,Romania,"tranzy.ai partners the local authorities and the public transport operators for more efficient, accessible & equitable mobility services.",,Iaşi,BigData,Above €25 million,2020,https://tranzy.ai/,Active,RO,https://www.linkedin.com/company/tranzy/
MediNav,https://www.eu-startups.com/directory/medinav/,Romania,MediNav is a software company that focuses on delivering cutting edge technology to hospitals and private practices in order to support them during their consultations and reducing the time spent on filling forms.,,Timisoara,"Health, SaaS",Between €100K-€500K,2020,https://medinav.eu/,Active,RO,https://www.linkedin.com/company/medinav/
Blume Technologies,https://www.eu-startups.com/directory/blume-technologies/,Romania,Our mission is to increase transportation safety and efficiency by developing advanced technological solutions.,Our mission is to increase transportation safety and efficiency by developing advanced technological solutions.,Romania,Transportation,Above €25 million,2021,https://blume.ro/,Active,RO,https://www.linkedin.com/company/blume-technologies/
Marv Tech SRL,https://www.eu-startups.com/directory/marv-tech-srl/,Romania,"MARV is an innovative AI-driven platform that is set to transform the travel industry. By connecting travelers with local city experts, MARV provides unique, customized, and authentic travel experiences. Its value lies in its ability to leverage AI to match travelers with the ideal local guide, thereby revolutionizing the way people experience travel.",,Bucharest,"AI travel platform, AI in Tourism, Local City Guides",Between €1-€100K,2024,v0.marvtech-ai.com,Idea Stage,RO,https://www.linkedin.com/company/101948670/admin/feed/posts/
Veve Geek,https://www.eu-startups.com/directory/veve-geek/,Romania,"Veve Geek is a gamified online Shop and game Publisher. The most fun online shop. It will have a game, Ophel. We specialize in providing an extensive collection of high-quality figures and board games that will delight fans of all ages.",,Bucharest,"International Affairs, Arts, entertainment",Between €100K-€500K,2021,https://vevegeek.co/,Active,RO,https://www.linkedin.com/company/veve-geek/
Clark Retail,https://www.eu-startups.com/directory/clark-retail/,Romania,"Clark Retail helps companies measure the benefits, costs and risks of their promotional discount offers to identify what they can improve in the future. We use customer data to give them the tools they need to make the best decisions with ease.",,Bucharest,"Retail, Sales, Marketplace",Between €100K-€500K,2023,https://retail.clark-x.com,Active,RO,
QuickLegal,https://www.eu-startups.com/directory/quicklegal/,Romania,"QuickLegal is a marketplace for automated legal services helping SMEs cut costs of such services by 30% via: (i) SaaS solutions automating repetitive legal procedures (recovery of receivables, registration of receivables with the creditors' table, trade registry formalities) and (ii) matching with specialized lawyers.",,Bucharest,"Consumer Services, Product, Service, Civil Law",Between €100K-€500K,2021,https://quicklegal.ro/en/,Active,RO,https://www.linkedin.com/company/quick-legal/
Metal-Projects,https://www.eu-startups.com/directory/metal-projects/,Romania,"Our business model revolves around Metal-Projects, a collaborative platform connecting clients with a network of metal workshops. Through our innovative technology, we empower workshops to competitively bid on client projects, fostering efficiency and effectiveness in the metal fabrication process. By integrating advanced data-driven optimization tools, such as Palantir-like AIP services, we streamline cost, service, and quality considerations, offering clients unparalleled advantages in their project procurement and production processes.",,Timisoara,"Metal Manufacturing, Project Management, 3D Metal Prinding",Between €100K-€500K,2023,https://metal-projects.com,Active,RO,https://www.linkedin.com/company/metal-projects/
Alt.Real,https://www.eu-startups.com/directory/alt.real,Romania,"Alt.Real is a solar energy ecosystem providing end-to-end solutions. It is a hub integrating clients, vetted installation companies, financial institutions, EU funds consultants and insurance products. Through Alt.Real, we make it easy, cost-effective, trustworthy, and convenient for end-users to switch to solar power, and for installation companies to increase their efficiency.",,Ciocănai,"Renewable Energy, Financial institutions, EU funding Consultants",Between €100K-€500K,2022,https://altreal.ro/en-GB,Active,RO,https://www.linkedin.com/company/altreal-solar/
BRINOS,https://www.eu-startups.com/directory/brinos/,Romania,BRINOS is a research startup that assists every parent with neurodivergent children by offering specialized support. The child's progress is evaluated and a personalized intervention plan is proposed through a digital behavioral analyst while keeping individual needs in mind.,,Cluj-Napoca,"Research Services, A Digital Therapist, Autism",Between €100K-€500K,2022,http://www.brinos.care/,Active,RO,https://www.linkedin.com/company/brinos/
Mesh app,https://www.eu-startups.com/directory/mesh-app/,Romania,"Mesh redefines online shopping, seamlessly integrating social collaboration, real-time price tracking, and effortless product saving. Save items from any site, track prices, and share recommendations with friends for a smarter, more engaging shopping experience. With Mesh, shopping has never been easier or more rewarding.","Introducing Mesh: Revolutionizing Online Shopping for the #SaveNowBuyLater Era
Welcome to the dawn of the #SaveNowBuyLater era, where responsible spending meets effortless discovery. In a world inundated with Buy Now, Pay Later (BNPL) services pushing consumers towards impulsive purchases, Mesh emerges as a beacon of mindful shopping and financial well-being.
At Mesh (https://www.use-mesh.com/), we're on a mission to redefine the online shopping experience, empowering users to save wisely and discover purposefully across any website or app. Gone are the days of mindless spending and cluttered bookmarks. Here's what sets Mesh apart:
Ad-Free Zone: Say goodbye to intrusive ads and data tracking. Mesh is committed to providing a serene, ad-free environment where your privacy is respected, and your data remains secure.
Effortless Saving: No more scattered screenshots or forgotten bookmarks. With Mesh, saving your favorite items is as simple as sharing a link. Seamlessly organize your finds into personalized lists for easy access and future reference.
Community Collaboration: Engage with friends and fellow shoppers through Mesh's unique voting feature. Make informed decisions together, share shopping discoveries, and explore new products in a collaborative, pressure-free environment.
Control and Convenience: Take back control of your online shopping experience with Mesh. Download our app and discover the joy of shopping that's fun, organized, and devoid of unnecessary pressure.
By prioritizing user empowerment and financial mindfulness, Mesh transforms the way we shop online, fostering a culture of informed consumption and long-term satisfaction. Join us in embracing a more sustainable and fulfilling approach to online shopping.
Experience Mesh today and embark on a journey towards smarter spending and greater fulfillment.",Bucuresti,"shopping, social, app",No funding announced yet,2023,https://www.use-mesh.com/,Active,RO,
3CHEAPS,https://www.eu-startups.com/directory/3cheaps/,Romania,"Born in early 2020, 3CHEAPS.com emerged from a vision to create a unique price comparison tool that embraces modernity and caters to the technological standards and demands of today's users. Our team comprises passionate individuals with a rich background in technology and online sales. The driving force behind our project is the feedback we receive from our users, ensuring that we continually enhance their experience. Join us on our journey to revolutionize the way you shop online!","Founded in early 2020, 3CHEAPS stands out as a premier online price comparison tool, offering real-time price updates directly from online retailers. This means that the prices displayed on 3CHEAPS are always synced with those on the retailer's website, ensuring you the best shopping experience possible. No more worrying about price disparities between the comparison tool and the online store – with 3CHEAPS, you get real-time pricing information, making it one of the top online price comparators for savvy shoppers.
But that's not all. What else sets 3CHEAPS apart?
Cashback:
Looking to make savvy purchases while earning cashback? Look no further than 3CHEAPS! Our platform enables you to save money and earn cashback on your purchases.
Discount Codes:
3CHEAPS is your go-to destination for the best deals and discount codes across a wide range of online stores! Our platform offers a curated selection of discount coupons and deals that can be used at most online retailers.
Reviews:
At 3CHEAPS, you'll find detailed and objective reviews from real buyers, helping you make informed choices about products and online stores.
In conclusion, 3CHEAPS is your ultimate source for online store and product information: real-time prices, cashback opportunities, relevant and objective reviews, updated information, details about products and online stores, all housed within an easy-to-navigate platform. Join us at 3CHEAPS.com and revolutionize your online shopping experience today!",Dobra,"price comparison, 3cheaps, price comparison website, realtime prices",Between €1-€100K,2020,https://3cheaps.com,Active,RO,https://www.linkedin.com/company/3cheaps/
RENEWABLE ENERGY HOLDING SA,https://www.eu-startups.com/directory/renewable-energy-holding-sa/,Romania,"RENEWABLE ENERGY HOLDING is a joint-stock company with full private capital in an open system with registered shares and its main field of activity is the Production of renewable electricity and Research, innovation, engineering in the renewable energy industry","RENEWABLE ENERGY HOLDING SA designs, builds and implements Photovoltaic Power Plants and develops technologies, materials and innovative solutions in the renewable energy industry through the research, development and innovation department
Our main mission is to contribute to a better and cleaner future, reducing carbon emissions from the atmosphere, reducing carbon footprint and greenhouse gas emissions by producing clean energy from renewable sources, thus limiting the increase in global temperature.
Our goal is to put the interests of shareholders first, namely the constant growth of performance indicators by maximizing profit and accessing non-reimbursable European and regional funds, as well as other sources of financing for the implementation of renewable energy projects .
Together we can become one of the significant producers of renewable energy in Romania through the development and implementation of Photovoltaic Power Plants and through the launch of innovative technologies, materials and solutions.",Giurgiu,"renewable,energy,innovation",No funding announced yet,2023,www.renewableenergyholding.ro,Active,RO,
RenderLion,https://www.eu-startups.com/directory/renderlion/,Romania,"Turn words, photos, or brand elements into instant, compelling videos. With the RenderLion AI video generator, every piece of data becomes a powerful video. Embrace brand-focused, multi-format video creation sans complexity.","RenderLion Video Generator redefines video creation with its user-friendly AI-driven platform, focusing on simplicity, customization, and versatility. Here's what sets RenderLion apart:
Pure Simplicity:
Say goodbye to the complexities of traditional video editing. RenderLion simplifies the entire process, allowing you to create videos without fussing over templates, designing, editing effects, and timelines.
Brand-Focused:
Every video you create with RenderLion can be infused with your unique brand style. From colors to fonts, your videos will consistently reflect your brand's identity, making every creation distinctively yours.
Multi-Format Generator:
Whether you need a square video for Instagram, a landscape for YouTube, or a portrait for TikTok, RenderLion has you covered. It's an all-in-one generator that adapts to your needs, providing perfect videos for any platform.
Lion's Share, Create Freely:
Dive into the limitless possibilities of video creation with RenderLion's free generator. Explore, play, and excel without constraints, letting your creativity run wild.
RenderLion is for those who value their time and creativity. It offers a seamless path to professional-grade videos that stand out. Unleash AI's capabilities with RenderLion to swiftly and effortlessly generate videos that elevate your brand's narrative like never before.",Iasi,"Generative, Video, AI",No funding announced yet,2023,https://renderlion.com,Active,RO,https://www.linkedin.com/company/renderlion-ai/
Planet Wild,https://www.eu-startups.com/directory/planet-wild/,Romania,"We Love Organic, But We Go Further
In a world where ‘organic’ has become the ultimate measure of quality, we have returned to nature and the ‘Wild.’
At Planet Wild we make, food supplements made of wild ingredients hand-foraged from Transylvania’s forests(today, tomorow from Patagonia, aftertomorow from Siberia)  and manufactured in the UK with no preservatives and additives, with fairplay(for user) and sustainable(for nature and bussines).
Very short : We bring wilderness(pure nature) - in the midle of the metropolis with protect and respect for the Mother earth and humans!","We bring the purest energy from the wilderness direct in the middle of the city/metropolis . One capsule is just one click away on your table. That is share power. At Planet Wild we make food supplements 100% from wild ingredients. The capsule is from plants, the jar(dark glass) is made to conserv all the nutrient inside. We are already seling in 3 contry, the concept and product that we have right know is validated in the market and it have humans that reorder 2,3,4,7,11 times already(we have evidence offcourse).
We hold our core values dear to our hearts, and we aim to reflect them in everything we do. Our core values are not just a set of principles but a way of life that guides us in every decision we make. We believe in sustainability, conservation, education, and community.
As we know Planet Wild is the first company that bring this alive in Europe and maybe in the whole world.
Our mission is to elevate the human spirit by nourishing it with the purest WILD ingredients, foraged from mountains of unmeasurable beauty and energy.",Brasov,Food supplements from wild ingredients,No funding announced yet,2022,www.planetwild.ro / www.planetwild.co.uk,Active,RO,https://www.linkedin.com/company/planet-wild/
