name,link,description,investorType,hQLocation,website,investmentAreas,typicalInvestment,fundingStage,linkedin,contactEmail,country
The Footprint Firm,https://www.eu-startups.com/investor/the-footprint-firm/,"The Footprint Firm is an advisory and investment company with a sole focus on sustainability. We work together with our clients for climate-positive innovations and sustainable solutions and make connections between companies, science, academia, government institutions, start-ups and capital. We live and breathe sustainability and invest our profits in sustainable start-ups, working closely with our investments to help them realise their impact potential.",VC Firm,Denmark,https://thefootprintfirm.com/,"Energy, Agriculture, Food, ClimateTech, Circular Economy",€1.5M-€3M,"Pre-Seed / Seed, Series A/B",https://www.linkedin.com/company/the-footprint-firm/,[email protected],DK
Scale Capital,https://www.eu-startups.com/investor/scale-capital/,Scale Capital is an early stage venture fund investing in digitalization and disruptive technologies within B2B with a focus on the Nordic region and a vision to succeed in the US market.Scale Capital is a Danish venture fund investing €1-4M in Nordic B2B tech startups at Seed/Series A and helping them win in the US.,VC Firm,Denmark,http://www.scalecapital.com,"Enterprise Software, DeepTech, B2B",€1.5M-€3M,"Pre-Seed / Seed, Series A/B",https://www.linkedin.com/company/scale-capital?trk=top_nav_home,[email protected],DK
Underground Ventures,https://www.eu-startups.com/investor/underground-ventures/,"Underground Ventures is an investment company that provides venture capital for geothermal energy technology companies.Fields include advanced drilling, well casing, rig/supply chain, reservoir development, and turbine/energy conversion.",VC Firm,Denmark,https://ugv.co/,"Energy, Finance, Venture Capital",€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/undergroundventures/,[email protected],DK
Accelerace,https://www.eu-startups.com/investor/accelerace-2/,"Since 2008, Accelerace has supported 1000+ Danish and international startups, including Trustpilot and Templafy and have made 120+ pre-traction investments. Our aim to help as many startups succeed as possible - by investing, making our platform available for free and offer mentoring from other successful founders.In Accelerace we stand on the shoulders of everyone we have had come through, and we use that knowledge to pass on to the next generation of startups. Accelerace is also responsible for the management of NOME (Nordic Mentor Network for Entrepreneurship), an elite mentoring program for Nordic life science startups, and are partners on programmes: Beyond Beta, VITA and Beyond.",Accelerator,Denmark,http://www.accelerace.io,"Fintech, HRtech, KYC, mobile/apps, marketplaces",0-€100k,Pre-Seed / Seed,http://www.linkedin.com/company/1561499,[email protected],DK
Heartcore Capital,https://www.eu-startups.com/investor/heartcore-capital/,"Heartcore is a venture capital firm that invests in companies that use technology to change people's lives for the better.Heartcore Capital is an early stage venture capital fund with offices in Copenhagen, Stockholm, Berlin and Paris. Since 2007, we have backed some of Europe’s biggest category-defining companies, such as Tink, Neo4j, Boozt, Peakon, Seriously and TravelPerk. So far, we have invested in over 100 founding teams from 13 different countries. And we're looking for more.",VC Firm,Denmark,https://www.heartcore.com/,"Future of Work, Sustainability, Synthethic Biology, Space Tech, Web3, Health and Wellness, Travel Tech",€1.5M-€3M,"Pre-Seed / Seed, Series A/B",https://www.linkedin.com/company/heartcorecapital/about/,[email protected],DK
Vestas Ventures,https://www.eu-startups.com/investor/vestas-ventures/,"Vestas Ventures is a corporate venture capital arm of Vestas, with a vision to accelerate the deployment of sustainable energy, the electrification of societies, and unlock new growth opportunities through relevant investment programs. Vestas is the energy industry’s global partner on sustainable energy solutions. We design, manufacture, install, and service wind turbines across the globe, and with +154 GW of wind turbines in 87 countries, we have installed more wind power than anyone else.",Corporate VC,Denmark,https://www.vestas.com/en/about/partnering#!vestasventures,"Wind power solutions, Wind energy, Renewable energy, Sustainability, Energy",€100k-€1.5M,"Pre-Seed / Seed, Series A/B",https://www.linkedin.com/company/vestas,[email protected],DK
ALFA Ventures,https://www.eu-startups.com/investor/alfa-ventures/,"ALFA Ventures is an Investment firm.We enable a more sustainable and customer-centric real estate industry. Today, the built environment accounts for ~40% of global CO2 emissions. We want to change that by investing in and enabling mission-driven entrepreneurs with solutions to this great challenge. Customer demands for new and more flexible housing solutions are on the rise – and we seek entrepreneurs with new and innovative customer-driven solutions. We have +15 years of experience and an extensive network within the real estate industry through ALFA Development A/S and ALFA Development AB",Corporate VC,Denmark,https://alfaventures.dk,"Venture Capital, Proptech, Contech, Venture, Sustainable Construction",€100k-€1.5M,"Pre-Seed / Seed, Series A/B",https://www.linkedin.com/company/alfa-vc,[email protected],DK
Danfoss Ventures,https://www.eu-startups.com/investor/danfoss-ventures/,"Danfoss Ventures A/S is the venturing arm of the company Danfoss A/S a family owned global company. They invest in seed or early stage and they look for investment opportunities with a potential to make a significant impact on their targeted market. They invest in developers and entrepreneurs who can benefit from Danfoss: global presence, knowledge and experience.",Corporate VC,Denmark,http://www.danfoss.com,"Financial Services, Industrial Engineering, Sustainability, Marketing, E-sourcing",€100k-€1.5M,"Pre-Seed / Seed, Series A/B, Series C & Beyond",http://www.linkedin.com/company/danfoss,[email protected],DK
A.P. Moller Holding,https://www.eu-startups.com/investor/a-p-moller-holding/,A.P. Moller Holding is a privately held investment company with approximately USD 32bn under management. We invest in and build businesses with a positive impact on society. A.P. Moller Holding is committed to its long standing purpose of investing in and developing businesses that have a positive impact on society. Committed to its long standing purpose of investing in and developing businesses that have a positive impact on society.,Corporate VC,Denmark,http://www.apmoller.com/,"Investing, Sustainability, Entrepreneur, Investment Management",€100k-€1.5M,"Series A/B, Series C & Beyond",https://www.linkedin.com/company/apmoller,[email protected],DK
TotalEnergies Ventures,https://www.eu-startups.com/investor/totalenergies-ventures/,"TotalEnergies Ventures is the venture capital arm of Total. As part of Total's commitment to a better energy future, TotalEnergies Ventures is focused on finding, funding and fostering high-potential start-ups which will contribute to creating a low carbon future. Current areas of interest include Renewables, Distributed Energy, New Mobility, Energy Access, Energy Storage, Bio-Plastics, Circular Economy, Carbon Capture and Hydrogen.",Corporate VC,Denmark,https://ventures.totalenergies.com,"Clean Energy, Energy, Renewable Energy, Sustainability, Transportation, Funding",€100k-€1.5M,"Pre-Seed / Seed, Series A/B, Series C & Beyond",https://www.linkedin.com/company/totalenergies,[email protected],DK
Maersk Growth,https://www.eu-startups.com/investor/maersk-growth/,"Maersk Growth, the partner for external innovation of Maersk, is a corporate venture capital fund that invests in startups and new technologies to decarbonize transportation and shipping. The firm was founded in 2017 and is headquartered in Copenhagen, Denmark. We support thinkers and doers who focus on global challenges, and by investing in and partnering with them.",Corporate VC,Denmark,https://www.maersk.com/growth,"CleanTech, Financial Services, Shipping, Supply Chain Management, Transportation, Venture Capital",€100k-€1.5M,"Pre-Seed / Seed, Series A/B, Series C & Beyond",https://www.linkedin.com/company/maersk-growth,[email protected],DK
SDG Invest,https://www.eu-startups.com/investor/sdg-invest/,"SDG Invest is a mutual fund offering private and institutional investors the possibility to obtain attractive returns. They invest in globally listed companies that work for the fulfillment of sustainable development goals, and they have created a portfolio that delivers attractive returns.",Corporate VC,Denmark,https://sdg-invest.com,"Sustainable Finance, Investments, Green Investing, Institutional Investors, Sustainable Development",€100k-€1.5M,"Pre-Seed / Seed, Series A/B, Series C & Beyond",https://www.linkedin.com/company/sdg-investments-gmbh/,[email protected],DK
Stairways,https://www.eu-startups.com/investor/stairways/,"Incubator providing experience, time and tech know-how to help and advice early stage start ups. An active Danish tech startup incubator providing capital, experience, and expertise. We have a combined 45+ years of experience within scalable B2B sales, .Net development, Cloud based business and development behind us.",Accelerator,Denmark,http://www.stairways.dk/,"Angel Investment, IT Technology, B2B Software, E-Commerce Platforms",0-€100k,Pre-Seed / Seed,https://www.linkedin.com/company/stairways,[email protected],DK
Urbantech,https://www.eu-startups.com/investor/urbantech/,"Urbantech Program 2020 is a non-equity, pilot-focused, and innovation program for growth-stage startups. Its goal is to contribute to the further development of sustainable cities during the accelerator program will help entrepreneurs and businesses grow their startup and engage with the partners of the program.",VC Firm,Denmark,http://urbantechprogram.io/,"Finance, Financial Exchanges, Financial Services, Investments",0-€100k,Pre-Seed / Seed,https://www.linkedin.com/company/urbantechprogram,[email protected],DK
Layer Three Ventures,https://www.eu-startups.com/investor/layer-three-ventures/,"Layer Three Ventures is a accelerator for next generation of ethical and sustainable layer 3 blockchain startups. Ethical investing in global early stage startups. A VC Fund for Ethical Investment and Growth In New Markets. We Bring Start-up Investment, Entrepreneurship, and Industry Experience to the Table.",Accelerator,Denmark,https://layerthreeventures.com,"Web3, Blockchain, Cryptocurrency, Internet Services",0-€100k,Pre-Seed / Seed,https://www.linkedin.com/company/layerthreeventures,[email protected],DK
ITU Startup Programme,https://www.eu-startups.com/investor/itu-startup-programme/,"We provide the right resources, mentorship & support for students to create new technology startups at the IT University of Copenhagen. We are a technology-focused startup incubator at ITU, which provides the right resources, mentorship & ongoing support for students to create new technology startups.",Accelerator,Denmark,https://itustartup.dk,"Entrepreneurship, Business Development, Prototyping, Pro",0-€100k,Pre-Seed / Seed,https://www.linkedin.com/company/itustartup/,[email protected],DK
Copenhagen FinTech Accelerator,https://www.eu-startups.com/investor/copenhagen-fintech-accelerator/,"Copenhagen FinTech and Accelerace Management has establish a dedicated fintech accelerator to strengthen the positive development. Copenhagen Fintech is a non-profit, award-winning* innovation hub founded in 2016 in Denmark, with the mission to foster innovation within the financial sector, by building a thriving fintech ecosystem. Elevating New Nordic Innovation.",Accelerator,Denmark,https://www.copenhagenfintech.dk/,"Fintech, Platforms, Payments, Usability, Cybersecurity",0-€100k,Pre-Seed / Seed,https://www.linkedin.com/company/copenhagen-fintech/,[email protected],DK
FST Growth,https://www.eu-startups.com/investor/fst-growth/,"FST Growth is a purpose-driven investor and growth accelerator. FST Growth is a purpose driven investor and growth accelerator on a mission to help transform the global scene of news-media corporations for the better. Through our parent company – Fyens Stiftstidende, part of Danish media conglomerate Jysk Fynske Medier - we draw upon a 250 years old commitment to serving the public in the communities we operate.",Accelerator,Denmark,https://www.fstgrowth.com/,"Venture Capital, Private Equity Principals, Investor, Digital",0-€100k,Pre-Seed / Seed,https://www.linkedin.com/company/fstgrowth/,[email protected],DK
Gray Matter,https://www.eu-startups.com/investor/gray-matter/,Gray Matter is a startup studio that builds AI-enhanced software companies and projects from scratch. A technology company on a mission to build intelligent and lovable software for the next era of work. A tool that helps businesses transform cold outreach into engaging conversations using a blend of technology and human-centric approaches.Gray Matter,Accelerator,Denmark,https://graymatter.ai,"Technology, Information, Internet, AI",0-€100k,Pre-Seed / Seed,https://www.linkedin.com/company/graymatterhq,[email protected],DK
Growth Train Accelerator,https://www.eu-startups.com/investor/growth-train-accelerator/,"The Growth Train is an accelerator program open for start-ups and early growth organizations from all around the world. Growth Train is an non-profit, international accelerator supporting startups of all levels. We take zero equity and aim to attract innovative startups who are open to establish their business in our region.",Accelerator,Denmark,http://growth-train.dk/,"Professional Training, Coaching, Innovative, Entrepreneurs",0-€100k,Pre-Seed / Seed,https://www.linkedin.com/company/growthtrain,[email protected],DK
CBS Startup,https://www.eu-startups.com/investor/cbs-startup/,"CBS Startup is an independent organisation that aims to accelerate the impact of entrepreneurship to support startups with early funding. We provide early venture funding to student start-ups, to support their growth into into sustainanable business ventures. CBSSTARTUP.dk is founded because CBS wants to ensure that innovation gets the best conditions to turn into start-ups that can grow into big companies.",Accelerator,Denmark,https://www.cbsstartup.dk,"Coaching, Funding, Grants, Entrepreneurship, Innovation",0-€100k,Pre-Seed / Seed,https://www.linkedin.com/company/cbsstartup,[email protected],DK
Orsted Propel,https://www.eu-startups.com/investor/orsted-propel/,"Orsted Propel is an acceleration program of sustainable energy company. Orsted in partnership with Rockstart. Creating a world that runs entirely on green energy. We develop, construct and operate offshore and onshore wind farms, solar farms and energy storage facilities, bioenergy plants and provide energy products to our customers.",Accelerator,Denmark,https://propel.orsted.com/,"Offshore Wind, Bioenergy Plants, Waste-to-energy Solutions, Smart energy products",0-€100k,Pre-Seed / Seed,https://www.linkedin.com/company/orsted,[email protected],DK
Accelerace,https://www.eu-startups.com/investor/accelerace/,"Accelerace is a management consulting firm. Pre-traction venture fund investing in Denmark, Nordics, Baltics and Italy. Home of the Nordic founders building the great companies of tomorrow.",Accelerator,Denmark,https://www.accelerace.io/foodtech-accelerator,"Biotechnology, Blockchain, Cryptocurrency, Food and Beverage, Financial Services",0-€100k,Pre-Seed / Seed,https://www.linkedin.com/company/accelerace-management-a-s/,[email protected],DK
Alter State,https://www.eu-startups.com/investor/alter-state/,Nordic-Baltic Women Innovation Sprint. A community of fearless women enabling each other to thrive in the tech world! alter state. is an international platform bringing together women from around the globe to learn and collaborate with each other as we make breakthrough ideas and change society as we know it.,Accelerator,Denmark,https://www.alterstate.org,"STEAM, Design Thinking, Innovation, Technology, Women Entrepreneurship",0-€100k,Pre-Seed / Seed,https://www.linkedin.com/company/alter-state,[email protected],DK
BioInnovation Institute Venture House,https://www.eu-startups.com/investor/bioinnovation-institute-venture-house/,"BioInnovation Institute Venture House provides Add-on funding opportunity for companies. BioInnovation Institute (BII) offers life science researcher and entrepreneurs access to a vibrant life science community with 3500 square meter of advanced lab and office facilities, business acceleration programs, commercial support, funding opportunities and access to high-level mentoring and networks. Bringing ideas to life and research to market.",Accelerator,Denmark,https://bii.dk/venturehouse,"Biotechnology Research, Life science researcher, Entrepreneurs , Funding",0-€100k,Pre-Seed / Seed,https://www.linkedin.com/company/bioinnovationinstitute/,[email protected],DK
Blazar Capital,https://www.eu-startups.com/investor/blazar-capital/,"Blazar Capital is building new companies with the aspiration to become the next global online leaders. Blazar, evolving from Blazar Capital, specializes in the innovative intersection of company building and influencer collaboration. Our core mission is to develop consumer brands that resonate globally, leveraging the unique appeal of influencers and celebrities.",Accelerator,Denmark,https://blazarcapital.com/,"Business Building, Scale-up, Internationalization, Consumer Products, Retail",0-€100k,Pre-Seed / Seed,https://www.linkedin.com/company/15195851/,[email protected],DK
PSV,https://www.eu-startups.com/investor/psv/,"PSV cares about a conscious future. As a venture house, our mission is to clear the path for founders who build companies that matter. Our hybrid setup, comprising PSV Foundry, PSV Lab, and two unique venture funds, PSV Tech and PSV DeepTech, sets us free from adhering to a singular method. Rather we rethink existing ways and models to maximise our impact beyond any individual firm or investment. Together, we can punch above our weight.",VC Firm,Denmark,https://psv.xyz,"pre-product/market fit, software-powered companies, SaaS",€100k-€1.5M,Pre-Seed / Seed,https://www.linkedin.com/company/psv-venturehouse,[email protected],DK
